stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,2.63,57.83,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,252.36,2.63,0,0,86.75,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,53.5,0,0,129.03,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,934.65,3.15,0,0,144.76,0,9.44,0,44.06,0,6.29,0,0,0,0
 14-21,0,0,0,12,66,20,59,0,0,0,0,2,1,2,0,1,1,0,14,2,44,0,23,457,3,0,6,10,0,9,7,30,0,15,63,0,0,1
 24-34,0,0,0,4.1,21.34,0.82,68.95,0,3.28,1.64,1.64,1.64,0,2.46,1.64,1.64,2.46,0.82,30.37,0.82,58.28,0,8.21,200.29,0.82,0,6.57,0,0,18.88,0,8.21,0,2.46,27.09,0,4.93,0.82
 36-46,0,0,0,0,6.45,0.81,16.11,0,2.42,3.22,4.03,1.61,0,2.42,0.81,0,8.86,0,10.47,0.81,21.75,2.42,4.03,68.48,0,0,4.03,0,0,14.5,0,2.42,0,0,6.45,0,3.22,0.81
 48-58,0,0,0,0,4.59,0.57,20.08,0,1.72,1.72,7.46,0,0,0.57,1.15,0.57,21.23,0,4.02,1.72,24.67,1.15,2.87,63.69,1.15,0,2.3,0,0,8.61,0,0.57,0,0,5.74,0,2.87,2.87
 60-70,0,0,0,0,0.98,0.98,16.69,0,3.93,1.96,11.78,0,0,0.98,0.98,0,61.84,0,7.85,0,22.58,0,0.98,33.37,0,1.96,0,0,0,4.91,0,0.98,0,0,1.96,0,1.96,0.98
 72-82,0,0,0,0,3.93,0,8.83,0.98,1.96,1.96,7.85,3.93,0,0,0.98,0.98,57.92,0.98,7.85,0,25.52,0,0.98,44.17,0,0.98,1.96,0,0.98,1.96,0,0.98,0,0,1.96,0,2.94,2.94
 84-94,0,0,0,0,6.37,1.06,5.31,0,0,1.06,6.37,0,0,1.06,3.19,1.06,96.65,0,7.43,2.12,10.62,1.06,0,33.99,0,0,2.12,0,0,15.93,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,1.09,0,6.56,1.09,0,0,4.37,2.19,0,0,2.19,0,62.29,1.09,4.37,0,7.65,2.19,1.09,12.02,0,1.09,1.09,0,0,6.56,0,0,0,0,0,0,3.28,1.09
108-118,0,0,0,0,4.6,1.53,2.3,0,0,0.77,6.13,0,0,0,0.77,0,72.77,0,3.06,0.77,5.36,0,0.77,16.09,0,0.77,0,0,0,7.66,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,27.44,0,1.96,0,1.96,0,0,3.92,0,0,1.96,0,0,7.84,0,0,0,0,0,0,1.96,0
