stage,blastomeres,endoderm,epidermis,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0
 10-12,0,22.03,0,0,0,0,0,0,0,0,0,0,18.88,0,6.29,0,0,0,0,0
 14-21,0,1,6,0,0,10,1,0,0,0,2,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,2.46,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,0,0.57,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,0,1.06,5.31,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,3.28,0,9.84,0,0,3.28,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,1.53,0,0,0,19.15,0,0,0.77,0,0,0.77,0,0,0.77,0.77
120,0,0,1.96,0,0,3.92,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
