stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,36.78,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,39.43,0,0,0,5.26,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,1,3,1,5,0,0,0,0,1,0,0,0,0,0,2,0,4,31,2,1,1,3,0,0,7,0,6,11,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,8.21,0,0,0,1.64,0,0,0,0,0.82,0,4.93,0,4.1,48.43,0,0,0,0,0.82,0,0,0,1.64,10.67,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,8.86,0,0,0,2.42,0,0.81,0,0,0,0,3.22,0,3.22,39.48,0,0,0,0,0.81,0,0,0.81,0,10.47,0,0,0,0
 48-58,0,0,0,0,0.57,0,13.77,0.57,1.15,0,4.02,0,0,0,0,0,0,6.89,0,1.72,37.87,0,0,1.15,0,0,0,0,0,0,6.89,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,17.67,0,0,0,6.87,0,0,0,0,0,0.98,12.76,0.98,1.96,52.02,0.98,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,16.69,0,0,0,1.96,0,0,0,0,0,0,4.91,0,3.93,56.94,0,0.98,1.96,0,0.98,0,0,0,0,4.91,0.98,0,1.96,0.98
 84-94,0,0,0,0,1.06,1.06,12.74,0,0,0,3.19,0,0,1.06,0,0,0,8.5,0,1.06,14.87,1.06,1.06,0,0,2.12,0,0,2.12,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,7.65,0,0,1.09,1.09,0,0,0,0,0,2.19,4.37,0,0,10.93,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,13.02,0,0,0,2.3,1.53,0,0.77,0.77,0,0.77,7.66,0.77,1.53,19.15,0,0,0.77,0,3.06,0,0,0,0,3.06,0.77,0.77,0.77,0
120,0,0,0,0,7.84,1.96,11.76,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,21.56,0,1.96,0,0,5.88,0,0,1.96,0,3.92,0,0,0,0
