stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8,29,1165,163,0,81,0,2,0,26,23,169,7,24,39,0,3,17,8,123,4,0,80,975,58,12,59,18,0,122,3,88,19,82,725,385,0,0,48,0,3
 24-34,0.82,7.39,27.91,909.51,41.04,0,98.5,1.64,45.97,9.03,30.37,16.42,58.28,22.98,73.88,80.44,4.1,39.4,14.78,32.01,360.36,32.83,0,202.75,708.4,20.52,64.03,50.89,0,2.46,101.79,0,2.46,15.6,8.21,285.66,215.06,0,0,178.95,0,22.98
 36-46,0,0.81,2.42,412.5,24.17,0,81.37,7.25,73.32,23.36,69.29,8.06,12.89,23.36,104.74,26.59,7.25,24.98,13.7,28.2,416.53,43.51,6.45,126.49,441.51,20.14,56.4,26.59,0,1.61,74.12,0.81,0.81,8.06,4.03,6.45,102.32,0,0.81,110.38,0,43.51
 48-58,0.57,1.72,1.15,292.64,10.9,0,102.14,7.46,101.56,41.31,99.84,2.3,26.4,14.92,91.23,12.05,10.33,21.23,5.16,31.56,395.35,25.25,14.35,96.97,253.62,6.31,30.99,17.21,0,1.15,44.18,0,0.57,4.59,2.3,0,43.61,0,4.59,72.3,0.57,51.07
 60-70,0,6.87,1.96,293.48,13.74,0,112.88,22.58,82.45,32.39,213.97,16.69,6.87,12.76,83.43,15.7,14.72,20.61,4.91,12.76,542.78,16.69,22.58,84.41,205.14,6.87,43.19,10.8,0,2.94,73.61,0,0,1.96,3.93,0,42.21,3.93,11.78,67.73,6.87,57.91
 72-82,0,18.65,0.98,461.38,30.43,15.71,122.71,14.72,111.91,57.92,320.02,75.59,5.89,17.67,178.66,35.34,18.65,34.36,6.87,24.54,1077.86,58.9,34.36,127.62,284.68,2.94,71.66,37.3,0,4.91,107.98,0,0,4.91,1.96,0,29.45,14.72,30.43,151.18,37.3,45.16
 84-94,0,14.87,1.06,723.25,32.92,22.3,146.56,13.81,196.48,50.98,192.23,131.69,9.56,19.12,194.35,56.29,48.85,37.17,19.12,19.12,714.75,47.79,35.05,103.02,199.66,6.37,46.73,31.86,0,5.31,233.65,0,0,9.56,3.19,0,39.3,75.4,26.55,124.26,37.17,58.41
 96-106,0,27.32,1.09,844.77,66.66,16.39,149.72,21.86,189.06,43.71,272.12,261.19,0,28.41,301.63,60.11,46.99,41.53,21.86,19.67,829.47,69.94,41.53,157.37,279.77,6.56,95.08,63.39,0,20.76,242.61,3.28,0,8.74,1.09,0,18.58,153,22.95,163.93,49.18,43.71
108-118,0.77,14.55,6.89,684.77,50.55,21.45,84.26,13.02,200.68,36.77,256.6,202.21,0,13.02,205.28,54.38,84.26,31.4,20.68,26.04,781.28,38.3,29.87,167.75,292.6,17.62,68.17,55.15,0,11.49,181.53,0,0,10.72,3.06,0,13.02,126.38,16.85,136.34,27.57,63.57
120,0,9.8,0,378.24,58.79,7.84,78.39,7.84,121.51,19.6,146.98,86.23,0,15.68,197.94,29.4,35.28,3.92,3.92,5.88,560.5,25.48,21.56,139.14,213.62,13.72,33.32,29.4,0,7.84,146.98,1.96,0,5.88,3.92,0,13.72,37.24,17.64,96.03,21.56,17.64
