stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,153.24,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,57.83,2.63,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,6,1,1,0,0,0,0,1,0,0,0,1,0,0,1,7,0,1,1,0,1,1,0,4,0,0,0
 24-34,0,0,0,0.82,4.1,0,0.82,0.82,0.82,0,0,0,0,0,0,7.39,0,0,1.64,11.49,0,0,0.82,0,2.46,0,0,7.39,0,0,0
 36-46,0,0,0,0,2.42,0.81,3.22,0.81,0,1.61,0,0,0,0,0,8.86,0,0.81,0,21.75,0,0,0,0,0,0,0,6.45,0,1.61,0
 48-58,0,0,0,0,0.57,0,6.89,0,1.15,0,0,0.57,0,0,0,9.18,0,0,1.15,17.21,0.57,0,0,0,1.72,0,0,6.31,0,0.57,0
 60-70,0,0,0,0,0,0,9.82,0.98,0,0.98,0,0,0,0,0,8.83,0,0,0.98,18.65,0,0,0.98,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,1.96,0,4.91,0,1.96,2.94,0,0,0,0.98,0,24.54,0,0.98,0.98,38.28,0,0,0.98,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,4.25,0,6.37,0,0,2.12,0,0,0,0,1.06,5.31,0,2.12,1.06,13.81,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,8.74,2.19,0,0,0,0,1.09,0,0,4.37,0,0,2.19,7.65,0,0,0,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0,1.53,0,3.83,0.77,0,2.3,0,0,0,0.77,0.77,4.6,0.77,0.77,2.3,8.43,0,0,0.77,0,1.53,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,11.76,0,0,0,0,3.92,0,0,0,0,3.92,0
