stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,15.77,0,0,34.17,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,289.16,5.26,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,6.29,0,0,84.97,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,1,0,0,2,23,4,11,1,0,0,0,0,0,0,2,0,0,0,0,10,0,0,5,128,1,3,1,2,0,4,16,0,13,39,0,0,1,0,0
 24-34,0.82,0,0,0.82,5.75,0,16.42,0.82,0,2.46,0.82,0,1.64,0,1.64,0,0.82,0,0,15.6,0,0,5.75,152.68,2.46,4.93,2.46,0,0,7.39,0,0,2.46,36.94,0,0,4.93,0,0
 36-46,0,0,0,0,5.64,0,25.78,0,0.81,3.22,0,0,0.81,0,0,0,1.61,0.81,0,16.11,0,0.81,9.67,174.02,1.61,4.03,0.81,0,0,5.64,0,0,0,52.37,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,49.35,1.15,1.15,10.33,0,0,0.57,1.15,0,1.15,0.57,0,0.57,28.12,0,0,4.02,161.24,1.15,3.44,3.44,0,0,4.59,0,0.57,0,36.15,0,0.57,3.44,0,0.57
 60-70,0,0,0,0,1.96,0,80.48,0,0,9.82,0.98,0.98,0,0.98,0.98,0.98,0,0.98,0,32.39,0.98,0,0.98,150.17,0.98,0,3.93,0,0,6.87,0,0.98,0,14.72,0,0,2.94,0,0
 72-82,0,0,0,0,2.94,1.96,68.72,0.98,1.96,11.78,3.93,0.98,0,1.96,0.98,2.94,2.94,0,0,50.06,0.98,0.98,2.94,129.58,0,0.98,4.91,0,0.98,4.91,0,0.98,0,11.78,0.98,0.98,2.94,0.98,0.98
 84-94,0,0,0,0,6.37,7.43,57.35,1.06,1.06,11.68,2.12,0,0,3.19,3.19,2.12,1.06,0,1.06,35.05,2.12,2.12,4.25,89.21,3.19,1.06,5.31,0,0,20.18,0,2.12,0,5.31,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,0,0,8.74,2.19,37.16,3.28,2.19,10.93,4.37,0,1.09,3.28,1.09,1.09,0,1.09,0,36.06,2.19,2.19,5.46,65.57,0,3.28,3.28,0,0,15.3,0,0,0,5.46,2.19,2.19,3.28,1.09,0
108-118,0,0,0,1.53,15.32,0.77,36,0,1.53,12.26,9.96,0,0,4.6,0.77,1.53,1.53,0,0.77,33.7,0.77,0,5.36,83.49,0.77,3.83,3.83,0,0.77,10.72,0,0,0,2.3,0.77,0,4.6,3.83,1.53
120,0,0,1.96,0,7.84,3.92,33.32,0,1.96,9.8,3.92,0,1.96,3.92,3.92,0,0,0,0,13.72,0,1.96,3.92,76.43,1.96,7.84,3.92,0,0,11.76,0,0,0,7.84,1.96,0,0,1.96,0
