stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,3,0,4,0,0,0,1,1,0,0,0,0,0,0,1,8,0,3,24,2,0,3,0,0,0,6,0,14,12,0,0,0
 24-34,0,0,0,4.1,0,0,2.46,0,0,0,2.46,0,0,0,0,2.46,0,0,0.82,4.93,0,2.46,29.55,1.64,0,0.82,0,0,0.82,0,0,3.28,14.78,0,3.28,0.82
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0,0,6.45,0,1.61,15.31,0,0,0,0,0,0.81,0,0,0,7.25,0,0,0.81
 48-58,0,0,0,0,0,0,3.44,0.57,0,1.15,1.15,0,0,0.57,0.57,0.57,0,1.72,0.57,8.61,1.15,0.57,12.62,0.57,0,1.15,0,0,0.57,0,0,0,2.87,0,2.3,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,1.96,0.98,0,6.87,0,0,2.94,0.98,0,0,0.98,0,0.98,0,0,0,10.8,0,1.96,6.87,0.98,0.98,1.96,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,4.25,1.06,0,3.19,0,0,2.12,3.19,4.25,0,0,3.19,2.12,0,2.12,0,12.74,0,3.19,6.37,1.06,0,0,0,0,5.31,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,2.19,1.09,0,0,2.19,0,1.09,0,0,7.65,0,1.09,6.56,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,9.19,0.77,3.06,3.06,0.77,4.6,0.77,4.6,1.53,0,0,3.06,2.3,0,3.06,0,11.49,0.77,2.3,7.66,0,0,3.06,0,0,3.06,0,0.77,0,0,2.3,4.6,0
120,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
