stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,26.29,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,50,0,0,0,0,1,0,2,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0.82,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,20.52,3.28,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,0,1.61,3.22,0,1.61,55.59,4.03,0,0,0,0,0,0,7.25,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,13.77,0,0,0.57,4.59,1.15,0,0.57,0,0,0,0,0,2.3,0,0.57,105.01,0,0,0,0,1.15,0,0,6.89,0,0.57,0,0
 60-70,0,0,0.98,0,0,0.98,0,33.37,0,0,2.94,3.93,3.93,0,0,0,0,0,0,0,4.91,0,0.98,232.62,0,0,0,0.98,1.96,0,0,8.83,0,0.98,0,0
 72-82,0,0,2.94,0,0.98,0,3.93,41.23,0,0,0,3.93,20.61,0,0,0,0,0,0,0,1.96,0.98,1.96,218.91,0,0,0,0,0,0,0,4.91,0,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,3.19,20.18,1.06,0,1.06,9.56,22.3,0,0,1.06,0,1.06,1.06,0,1.06,0,0,99.83,0,0,0,2.12,3.19,0,0,3.19,1.06,0,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,10.93,36.06,0,0,0,4.37,34.97,0,0,0,0,0,0,0,5.46,1.09,1.09,112.56,0,1.09,0,2.19,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,52.09,26.81,0,0,0,5.36,29.87,0,0,0,0.77,0,0.77,0.77,3.06,1.53,0,138.64,0.77,0,0,0.77,0.77,0,0.77,0.77,0,0.77,0.77,0
120,0,0,0,0,1.96,0,15.68,19.6,0,0,0,3.92,39.2,0,0,0,0,0,0,0,1.96,0,0,133.27,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0
