stage,axial,blastomeres,endoderm,eye,glial,gut,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,6.29,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,3.28,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,10.8,0,0,2.94
 72-82,0,0,0,2.94,0,0,0,0.98,0.98,11.78,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,1.06,6.37,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,0,0,7.65,0,0,1.09
108-118,0,0,0,2.3,1.53,0,0,0,0,2.3,0,0,0
120,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0
