stage,blastomeres,epidermis,eye,glial,gut,ionocyte,mucous,neural,olfactory,periderm,taste,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0.81,4.03,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,2.94,0,0.98
 72-82,0,0.98,0,0,0.98,0,0,0,0,6.87,0,0
 84-94,0,1.06,0,0,3.19,0,0,0,0,22.3,0,0
 96-106,0,2.19,0,0,3.28,0,0,0,0,12.02,1.09,0
108-118,0,0,0,0,5.36,0.77,0.77,1.53,0.77,10.72,1.53,0
120,0,0,0,0,1.96,0,1.96,1.96,0,13.72,0,0
