stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,47.32,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,135.32,0,0,280.08,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,1,0,12,182,20,0,20,0,0,0,15,15,1,0,0,0,0,0,0,77,0,0,78,239,179,0,7,69,0,0,0,121,3,6,122,229,0,0,10,0,0
 24-34,0,0,0.82,7.39,183.05,2.46,0,70.59,0,22.98,8.21,26.27,6.57,4.93,0,0.82,0,12.31,0,0,201.93,5.75,0.82,145.29,639.45,151.86,1.64,18.88,0,0,2.46,0,2.46,4.93,0.82,30.37,269.24,0,0,27.09,0,0
 36-46,0,0,0.81,1.61,82.18,0,0,43.51,1.61,15.31,33.03,89.43,0.81,6.45,0,1.61,0.81,2.42,1.61,0,297.29,0.81,4.83,107.96,464.07,115.21,2.42,14.5,0,0,1.61,0,0.81,1.61,2.42,0,217.53,0,0,14.5,0,1.61
 48-58,0,0,0,0,55.66,0,0,51.64,1.15,29.26,39.02,110.74,1.15,6.89,0.57,0,1.15,1.72,0.57,1.72,455.03,0.57,8.61,73.45,211.16,80.91,0,30.99,0,1.72,1.15,0,0,1.72,0,0,131.98,0,2.3,10.33,0.57,0
 60-70,0,0,0,0,55.95,0,0,46.13,0.98,19.63,22.58,112.88,8.83,3.93,0,0.98,0,6.87,0,0,632.1,0.98,13.74,50.06,107.97,52.02,0.98,37.3,0,2.94,1.96,0,0,1.96,2.94,0,46.13,0.98,8.83,14.72,1.96,0.98
 72-82,0,0,3.93,0,64.79,0.98,0,56.94,2.94,19.63,29.45,95.22,1.96,4.91,0.98,0.98,0.98,6.87,0.98,0.98,766.68,2.94,19.63,79.51,126.63,43.19,1.96,53.99,0,0.98,2.94,0,0,2.94,0.98,0,20.61,0,12.76,15.71,8.83,0.98
 84-94,0,0,2.12,0,97.71,0,0,61.6,1.06,43.54,21.24,46.73,7.43,5.31,3.19,1.06,3.19,4.25,2.12,1.06,522.52,1.06,21.24,35.05,45.67,67.97,3.19,50.98,0,3.19,1.06,0,0,1.06,0,0,25.49,2.12,12.74,11.68,8.5,2.12
 96-106,0,0,0,0,73.22,1.09,0,37.16,0,20.76,18.58,48.09,6.56,8.74,3.28,1.09,0,8.74,0,0,429.49,0,8.74,33.88,72.13,36.06,3.28,71.04,0,8.74,1.09,1.09,0,4.37,0,0,13.11,0,6.56,20.76,13.11,1.09
108-118,0,0,3.06,0,88.09,0,3.06,34.47,2.3,32.17,18.38,46.72,6.13,3.06,2.3,1.53,0.77,4.6,1.53,2.3,295.66,0.77,9.96,22.21,76.6,30.64,3.83,62.81,0,4.6,0.77,0,0,1.53,0,0,8.43,0.77,10.72,13.79,9.96,1.53
120,0,0,0,0,131.31,0,0,33.32,1.96,39.2,13.72,43.12,13.72,5.88,1.96,1.96,0,5.88,3.92,0,290.05,0,7.84,37.24,92.11,88.19,5.88,56.83,0,3.92,7.84,0,0,0,0,0,17.64,0,5.88,25.48,11.76,0
