stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,81.49,0,0,0,21.03,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,188.82,3.15,0,0,31.47,0,0,3.15,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,4,5,2,9,0,7,1,0,0,0,1,0,0,0,9,0,6,178,3,1,2,5,0,2,0,8,4,10,84,0,0,0,0,0
 24-34,0,0,0,4.93,0.82,38.58,0,2.46,0.82,0.82,0,0.82,0,0,0,0,22.98,0,9.03,310.28,0.82,4.1,3.28,0,0,3.28,0,0,1.64,0.82,70.59,0,0,4.93,0,0
 36-46,0,0,0,0.81,0.81,91.04,0.81,5.64,0,0,0,0,0,0,0,0.81,13.7,0,1.61,210.28,0.81,2.42,0,0,0,3.22,0,0,0.81,0,45.92,0,0,2.42,0,0.81
 48-58,0,0,0,2.87,1.15,113.04,0,10.9,0,0,0.57,0,0,0,0.57,0.57,14.92,2.3,2.87,96.4,0,0,0.57,0,0,1.15,0,0,0.57,0,18.36,0,0,1.72,0,0
 60-70,0,0,0,2.94,0.98,103.06,0.98,8.83,0,0,0.98,0,0,0,0.98,0.98,13.74,1.96,0.98,40.24,0,1.96,0,0,0,0.98,0,0,0,0,5.89,0,0,1.96,0,0
 72-82,0,0,0,0.98,2.94,74.61,0.98,10.8,0.98,0,0,0.98,0,0,0,0,9.82,0.98,2.94,50.06,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,4.91,0,0
 84-94,0,0,0,0,1.06,79.65,2.12,12.74,3.19,0,0,0,0,1.06,0,0,13.81,3.19,8.5,40.36,2.12,4.25,1.06,0,0,0,0,0,1.06,0,1.06,0,0,3.19,0,0
 96-106,0,0,0,0,0,44.81,0,14.21,1.09,0,0,0,0,0,0,1.09,17.49,1.09,0,34.97,0,4.37,2.19,0,2.19,0,0,0,1.09,0,3.28,0,1.09,1.09,0,1.09
108-118,0,0,0,3.06,1.53,39.83,0,13.79,0.77,0,0,2.3,0.77,0.77,0,0,12.26,1.53,3.06,40.6,1.53,0.77,0,0,0,0,0,0,1.53,0,2.3,0.77,0.77,2.3,0,0
120,0,0,0,3.92,3.92,33.32,1.96,15.68,0,0,0,5.88,0,0,0,0,7.84,0,3.92,35.28,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0
