stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,60.46,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,12.59,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,8,0,0,1,0,0,2,0,1,7,13,0,0,0,0
 24-34,0,0,0,2.46,0,0,6.57,0.82,0,0,0.82,0,0,0,0,0,0,0,6.57,0,4.1,87.01,0.82,0.82,0.82,0,0,0,0,0,0,0.82,27.91,0,2.46,0,0
 36-46,0,0,0,2.42,0,0,13.7,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0.81,1.61,106.35,0,0.81,0.81,0,0,0,0,0.81,0,0,13.7,0.81,1.61,0,0
 48-58,0,0,0,1.15,0,0,53.94,1.72,0,0.57,4.59,0,0,0,0,1.15,0.57,0.57,5.16,0.57,1.72,99.84,1.15,0,0,0,0,0,0,0,0,0,12.62,0,1.15,0.57,0
 60-70,0,0,0,0,0,0,103.06,0,0,0,15.7,0,0,0,0,0,0.98,0,2.94,0,0.98,111.89,0,0,0.98,0,0,0,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,78.53,0,1.96,0,34.36,0,0,0,0,0,0,0,12.76,0.98,0.98,73.62,0,0,0,0,0,0,0,0,0,0,2.94,0,0,1.96,1.96
 84-94,0,0,0,1.06,0,0,58.41,0,1.06,0,19.12,2.12,0,0,0,1.06,0,0,14.87,1.06,4.25,42.48,0,0,0,0,0,1.06,0,0,0,0,2.12,1.06,2.12,3.19,0
 96-106,0,0,0,7.65,1.09,0,73.22,1.09,0,0,18.58,1.09,0,1.09,2.19,0,0,0,7.65,0,2.19,40.44,0,3.28,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,2.3,0.77,0.77,80.43,2.3,0,0.77,16.09,0,0,0,0,0,0,0,9.96,0,0,51.32,0,0,0,0,1.53,0.77,0,0,0,0,1.53,0,0.77,0.77,0.77
120,0,0,0,9.8,0,0,78.39,5.88,1.96,1.96,25.48,0,0,0,0,0,0,0,21.56,1.96,3.92,58.79,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
