stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,1,0,1,3,0,0,0,0,1,1,0,0,8,1,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,13.13,0,0,0,0,0,20.52,0,1.64,7.39,0,2.46,0,0,9.85,0,4.1,0,0.82,0.82,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,1.61,0.81,0,0,0.81,0,0.81,0,0,4.03,0,0,0,0.81,2.42,20.95,0,0.81,13.7,0.81,0,0,0,14.5,0,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,0,3.44,1.15,0,0.57,4.02,0.57,0,0.57,0,4.02,0,0,0,1.72,4.02,28.12,0,1.15,14.35,0,1.72,0,0,9.18,0,0.57,0.57,0,5.74,0,0,1.72,0,0.57
 60-70,0,0.98,0,3.93,0,0,7.85,0,0,0.98,9.82,0.98,0,0,0.98,1.96,0,0,0,0.98,5.89,17.67,0,1.96,13.74,0,1.96,0,0,8.83,0,0.98,1.96,0,5.89,0,0,3.93,0,1.96
 72-82,0,1.96,0,5.89,0.98,0,22.58,0.98,0.98,0,15.71,14.72,0.98,2.94,1.96,3.93,0.98,0.98,0,0,30.43,37.3,0,1.96,37.3,0.98,9.82,1.96,0,11.78,0,0,0,0,6.87,0.98,0.98,1.96,0,0
 84-94,0,5.31,0,8.5,0,0,22.3,0,0,2.12,11.68,26.55,0,0,2.12,4.25,2.12,1.06,1.06,1.06,20.18,35.05,1.06,2.12,12.74,1.06,1.06,2.12,0,58.41,0,2.12,0,0,5.31,1.06,0,2.12,0,1.06
 96-106,0,1.09,0,10.93,2.19,1.09,21.86,0,1.09,1.09,20.76,37.16,0,0,5.46,5.46,1.09,3.28,1.09,2.19,19.67,32.79,0,5.46,25.14,0,2.19,2.19,0,32.79,0,1.09,0,0,3.28,0,0,8.74,2.19,0
108-118,0,0,0,16.09,0,3.83,20.68,1.53,1.53,0,18.38,45.96,0,0,5.36,2.3,3.83,1.53,0.77,0.77,11.49,26.04,0.77,3.83,17.62,0.77,3.83,3.06,0,24.51,0,2.3,7.66,0,3.06,3.83,0.77,4.6,1.53,2.3
120,0,3.92,0,7.84,0,0,21.56,11.76,0,0,9.8,31.36,0,1.96,11.76,1.96,1.96,1.96,0,0,7.84,23.52,0,0,9.8,0,3.92,3.92,0,35.28,0,0,1.96,0,1.96,1.96,0,5.88,0,3.92
