stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,13.14,0,0,28.92,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,199.78,5.26,0,0,89.38,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,28.32,0,6.29,44.06,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,339.87,9.44,0,0,110.14,3.15,0,0,12.59,0,3.15,0,0,0
 14-21,0,0,2,13,10,19,0,0,5,1,1,0,0,0,0,0,0,9,1,0,7,147,2,0,2,1,1,1,31,2,2,42,45,3,0
 24-34,0,0,0,7.39,2.46,24.63,0,0.82,4.1,0,0,0,0.82,0.82,0,0,0,10.67,0,0,9.03,133.8,0,1.64,1.64,0,0,0,0,0.82,0,9.03,24.63,3.28,1.64
 36-46,0,0,0,0,0,15.31,0.81,0,3.22,0,0,0,0,0,0,0,0,5.64,0,0,1.61,45.92,0.81,0.81,0,0,0,0,0,0,0,0,12.09,0,0
 48-58,0,0,0,0,0.57,23.53,0,0,3.44,0.57,0,0,0.57,0,0,0.57,0,8.61,0,0.57,3.44,33.85,0,0.57,0,0,0,0,0,0,0,0,7.46,1.15,0
 60-70,0,0,0,1.96,0,15.7,0,0,3.93,0.98,0,0,0,0,0.98,0.98,0.98,2.94,0,0,0,6.87,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,26.5,0,0,3.93,0,0,0,0.98,0,0,0,0,1.96,0,0.98,1.96,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,9.56,0,0,1.06,1.06,0,0,0,0,1.06,0,0,6.37,0,1.06,3.19,9.56,0,0,0,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,8.74,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,2.3,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,5.88,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,1.96,0
