stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,0,13.7,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,5.16,0,0,0.57,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0.57,0,2.3,0,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,2.94,0,0,0,0,0.98,0,1.96,0,0,10.8,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,7.85,0.98,0.98,2.94,66.75,0,0,0,0,10.8,0,5.89,0.98,0.98,26.5,0,0,0,1.96,0,2.94,0,0
 84-94,0,0,0,0,0,5.31,0,0,1.06,161.43,0,0,0,1.06,25.49,0,0,0,0,15.93,0,0,0,4.25,0,2.12,0,1.06
 96-106,0,1.09,4.37,0,0,16.39,1.09,0,3.28,304.9,1.09,0,0,0,242.61,1.09,16.39,1.09,2.19,60.11,0,1.09,2.19,4.37,0,0,1.09,2.19
108-118,0,0,0.77,1.53,1.53,8.43,0,0.77,2.3,353.11,4.6,0,1.53,0.77,404.43,0,7.66,0,1.53,43.66,0.77,0,0.77,2.3,0.77,2.3,0,1.53
120,0,0,0,3.92,0,9.8,0,0,0,182.26,1.96,3.92,0,0,478.19,0,9.8,0,0,29.4,0,0,1.96,1.96,0,0,0,0
