stage,axial,blastomeres,epidermis,eye,glial,heart,immune,lateral_line,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.14,2.63,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,7.85,0,0,0,0,0.98,0
 72-82,0,0,0.98,1.96,0,0,0,0,0,4.91,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,3.28,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0
