stage,axial,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,12.31,0.82,0,0.82,0,0,0,0,0,0,25.45,0.82,0,0,0,0,0,23.8,0,0,8.21
 36-46,0,0,0.81,32.23,0,0,1.61,0,0,0,0,0.81,0,45.12,0,0,0,0,0,0.81,36.26,0,0,4.83
 48-58,0,0,0.57,23.53,0,0,6.31,0,0,0.57,0,1.15,0,88.94,0.57,0,0,0,0,0,31.56,0,0,4.59
 60-70,0,0,1.96,19.63,0,0,6.87,0,0,0,0,0.98,0,157.04,1.96,0,0,0,0,0,30.43,0,0,1.96
 72-82,0,0,1.96,25.52,0,0,8.83,0,0,0,0,2.94,0,205.17,0.98,0,0,0,0,0,18.65,0,0,2.94
 84-94,0,0,5.31,26.55,0,1.06,7.43,0,0,0,0,5.31,0,112.58,2.12,1.06,0,0,1.06,0,4.25,1.06,1.06,5.31
 96-106,0,0,12.02,26.23,0,0,13.11,0,0,0,0,8.74,0,99.45,1.09,2.19,0,1.09,2.19,0,6.56,0,0,2.19
108-118,0,0,6.89,16.09,0,0,9.96,0.77,0,0,0.77,13.79,1.53,121.79,2.3,0.77,0,0,0.77,0,2.3,0.77,0,2.3
120,0,0,5.88,9.8,0,0,5.88,0,1.96,0,0,19.6,0,131.31,0,0,0,0,3.92,0,13.72,0,0,0
