stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,1.64,0,4.1,0.82,1.64,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0.81,2.42,0.81,0,0.81,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,0,0,2.3,0.57,1.72,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,1.96,0,0.98,0.98,0.98,0,0,0,0,1.96
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0
 84-94,1.06,0,0,0,0,0,0,0,0,0,0,2.12,1.06,2.12,0,1.06,0,0
 96-106,1.09,0,1.09,0,0,1.09,1.09,1.09,1.09,3.28,1.09,1.09,7.65,3.28,0,1.09,0,0
108-118,0,0,2.3,0.77,0,0,1.53,0,0,0.77,0,2.3,1.53,0.77,0,0,0.77,0
120,0,0,0,0,0,3.92,1.96,0,0,1.96,0,3.92,0,0,0,0,1.96,0
