stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,15.73,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,1,1,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,32,3,0,0,1,0,0,10,4,4,195,17,0,0,3,0,0
 24-34,0.82,0,0,0,19.7,10.67,1.64,0,3.28,4.93,2.46,0,0.82,1.64,0,0,0,0,0,35.3,0,0,37.76,67.31,2.46,1.64,3.28,0,0,0,0,2.46,1.64,41.86,15.6,0,0,19.7,0,0
 36-46,0,0,0,0,5.64,0.81,0.81,0,0.81,8.06,4.83,0,0,0,0,0,0,0,0,38.67,0,0,22.56,39.48,0,3.22,3.22,0,0,0,0,3.22,0.81,0,14.5,0,0,27.39,0,0
 48-58,0,0,0,0,5.16,0,11.48,0,0.57,6.89,13.77,0,1.15,0,0,0,0,1.15,0,46.48,0,1.72,16.64,51.64,0,2.3,2.3,0,0,0,0,2.3,1.15,0,8.61,0,0.57,30.99,0,0
 60-70,0,0,0,0,5.89,0,51.04,0.98,0.98,4.91,12.76,0,0.98,0.98,0.98,0,0,0.98,0,93.24,0.98,1.96,12.76,51.04,0,0,7.85,0,0,0,0,1.96,0,0,4.91,0,1.96,20.61,0,0
 72-82,0,0,0,0,7.85,0,133.51,0,0,4.91,37.3,2.94,2.94,0.98,0,3.93,0,3.93,0,186.52,0,4.91,14.72,78.53,0,2.94,12.76,0,2.94,0.98,0,3.93,0.98,0,4.91,0.98,2.94,36.32,0.98,0
 84-94,0,0,0,1.06,2.12,0,78.59,0,2.12,5.31,15.93,1.06,2.12,0,1.06,2.12,1.06,4.25,0,126.38,0,6.37,15.93,54.16,0,2.12,16.99,0,1.06,0,0,0,0,0,5.31,3.19,2.12,25.49,1.06,0
 96-106,0,0,2.19,0,8.74,0,59.01,2.19,2.19,1.09,25.14,3.28,0,4.37,0,4.37,0,4.37,2.19,163.93,0,4.37,5.46,71.04,0,0,27.32,0,3.28,2.19,0,5.46,0,0,4.37,4.37,3.28,36.06,1.09,2.19
108-118,0,0,3.06,0,3.83,0.77,39.06,1.53,4.6,2.3,29.11,5.36,0,0.77,4.6,5.36,1.53,3.83,0.77,139.41,0,3.06,16.09,68.94,0,2.3,15.32,0,1.53,0.77,0,2.3,1.53,0,2.3,9.96,3.06,29.87,2.3,0.77
120,0,0,3.92,0,7.84,1.96,47.03,1.96,0,3.92,37.24,7.84,0,1.96,1.96,5.88,0,5.88,0,145.02,0,1.96,7.84,66.63,0,3.92,11.76,0,9.8,1.96,0,1.96,0,0,3.92,7.84,0,45.08,1.96,0
