stage,blastomeres,epidermis,eye,fin_mesenchyme,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,9,2,0
 24-34,0,0,0,0,0,0,0,5.75,0.82,0,0,0,0.82,0.82,0
 36-46,0,0,1.61,0,0,0.81,0,14.5,0,0,0.81,0,0,0,0
 48-58,0,0,1.72,0,0,1.15,0.57,10.9,0,0,0,0,0,0.57,0
 60-70,0,0.98,0.98,0,0.98,0,0,30.43,0,0,0,0,0,0.98,0
 72-82,0,0,2.94,0,0,0.98,0,18.65,0,0,0.98,0,0,0,0
 84-94,0,0,3.19,0,0,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,1.09,2.19,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,2.3,0,0,0,0,5.36,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,1.96
