stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,1,0,0,0,2,0,0,4,0,0,0,1,2,1,5,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,0,0,1.64,0,0,0.82,0,0.82
 36-46,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,0,0,0,0,0.81,0,1.61
 48-58,0,0,0,2.3,0,0,0,0,0,0,1.72,0,0,2.87,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,3.93,0.98,1.96,5.89,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,3.93,0,0,0,0,0.98,0,1.96,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,4.25,0,0,0,0,0,1.06,5.31,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,4.37,0,0,2.19,1.09,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,2.3,0,0,1.53,0,0,0,1.53,0,0,0,0.77,0.77
120,0,0,5.88,1.96,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0
