stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,1054.23,5798.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,1593.71,8029.82,49.04,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,943.96,73.56,0,0,300.35,42.91,0,0,0,0,0,0,0,0
  7-9,446.88,165.61,880.62,0,7.89,105.15,0,0,0,0,791.24,0,0,0,0,0,0,0,0,0,2594.54,462.65,0,0,4986.67,2.63,26.29,0,10.51,0,0,0,0,0
 10-12,6.29,195.11,623.1,0,69.23,69.23,0,0,0,0,201.41,0,0,0,0,0,0,0,0,0,1482.22,166.79,0,0,3449.08,0,18.88,34.62,969.27,0,28.32,3.15,0,0
 14-21,2,5,22,84,840,7,0,0,8,53,4,1,0,5,0,0,310,1,0,149,161,70,0,2,62,8,2,473,141,13,515,276,15,2
 24-34,0,0,0.82,0.82,453.11,0,0,1.64,3.28,0.82,2.46,1.64,0.82,9.03,0,0.82,36.12,0.82,0,13.13,31.19,1.64,0,1.64,0,8.21,0,0.82,0.82,0,20.52,19.7,16.42,0
 36-46,0,0,0,2.42,45.92,0,0,0.81,0,0.81,0.81,1.61,0,6.45,0,0,8.06,0.81,0.81,4.83,9.67,0.81,0,0,0,9.67,0,0.81,0.81,0,0,2.42,3.22,0
 48-58,0,0,0,0,2.87,1.15,0,0,0,0,1.15,0,0,1.72,0,0,2.3,1.15,0,0.57,2.3,0,0,0,0,5.16,0,0,0.57,0,0,0,0,1.15
 60-70,0,0,0,0.98,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,2.94,0,0,0,0,0,0,0,3.93,0,0,5.89,0.98,0.98,0,2.94,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,12.74,2.12,1.06,0,0,3.19,1.06,0,0,1.06,1.06,0,4.25,0,0,0,0,0,1.06,0,0,21.24,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,3.28,0,2.19,0,3.28,0,0,0,1.09,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,10.93,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,9.19,3.83,0.77,0,0.77,0.77,0,0,0,7.66,0,0,0,1.53,1.53,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
