stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,37,0,0,0,0,0,36,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,148.57,3.28,0,0,0,0,53.36,0,0,0
 36-46,0,0.81,0,4.03,0,0,0,0,1.61,0,203.03,5.64,0,0,0,0,38.67,0,0,0
 48-58,0,0,0,14.35,0,1.72,0,0.57,5.16,1.15,175.01,2.87,0.57,0,0,0,30.41,0,0.57,0
 60-70,0,0,0,21.59,0.98,2.94,0,0,4.91,0,273.84,4.91,0,0,0.98,0,39.26,0,0,0
 72-82,0,1.96,0,38.28,0,0.98,0,0,8.83,0,200.26,12.76,0.98,0,0,0.98,10.8,0,0,0
 84-94,0,1.06,0,32.92,0,3.19,0,0,8.5,0,97.71,4.25,0,0,0,0,6.37,0,0,0
 96-106,0,1.09,3.28,27.32,0,1.09,1.09,1.09,4.37,0,73.22,6.56,2.19,0,0,1.09,0,3.28,0,0
108-118,0,0.77,0,22.21,0.77,3.06,0,0,5.36,0,62.81,4.6,2.3,0,0.77,0,2.3,0,0,0.77
120,0,0,0,29.4,1.96,1.96,0,0,0,0,84.27,0,0,0,0,0,1.96,0,0,0
