stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,4.02,0.57,0,2.87,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,15.7,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,7.85,0,0,2.94,0.98,0,0,0.98,0,0,126.63,1.96,8.83,1.96,24.54,0,0,0,0.98,0,1.96,0,0,1.96,0,0.98
 84-94,0,1.06,1.06,0,4.25,0,0,0,0,0,1.06,0,0,1.06,469.42,5.31,5.31,0,14.87,0,0,0,6.37,1.06,1.06,0,0,0,0,0
 96-106,0,4.37,7.65,1.09,26.23,0,1.09,5.46,2.19,0,8.74,1.09,2.19,2.19,750.79,6.56,28.41,2.19,131.14,2.19,3.28,2.19,14.21,0,4.37,1.09,1.09,7.65,1.09,0
108-118,1.53,7.66,4.6,1.53,31.4,0.77,2.3,6.89,3.06,0,3.83,0,0,0,1483.67,4.6,26.81,4.6,116.43,0,1.53,1.53,9.96,0.77,3.06,1.53,1.53,4.6,0,1.53
120,0,3.92,3.92,1.96,15.68,1.96,0,1.96,1.96,1.96,0,0,1.96,0,821.15,0,9.8,0,60.75,0,0,1.96,9.8,0,1.96,0,0,1.96,0,0
