stage,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,periderm,pronephros
  3-4,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,49.04,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.93
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,3.22
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,1.15,2.87
 60-70,0,0,0,0.98,2.94,0,0,0,0.98,0,1.96,1.96,4.91
 72-82,0,0,0,0,24.54,0,0,0.98,0,0.98,5.89,0,1.96
 84-94,1.06,0,2.12,0,44.61,0,1.06,1.06,0,0,0,4.25,15.93
 96-106,2.19,1.09,2.19,0,49.18,1.09,0,1.09,0,0,7.65,3.28,10.93
108-118,0.77,0,2.3,0.77,39.06,0,6.13,1.53,0,0,7.66,2.3,14.55
120,0,0,1.96,0,43.12,0,3.92,0,0,0,7.84,0,7.84
