stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,226.8,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,10.51,0,21.03,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,373.28,39.43,0,0,102.52,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,31.47,0,0,25.18,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,597.92,28.32,0,0,110.14,0,12.59,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,0,96,6,7,0,0,0,1,2,0,1,0,1,0,0,0,0,13,1,0,3,126,15,0,0,1,0,100,0,2,1,1,7,88,0,0,3,0
 24-34,0,0,1.64,0,32.83,0,29.55,0.82,4.93,0,4.1,0,0,4.93,0,3.28,0,6.57,1.64,0,9.85,0.82,1.64,9.85,222.45,2.46,0,2.46,0,0,109.99,0,0,0,0,1.64,57.46,0,0,11.49,0
 36-46,0,0,0,0,20.95,0,49.15,0.81,6.45,0.81,18.53,0,0,0,0,2.42,0.81,8.86,0,1.61,11.28,1.61,0.81,1.61,165.97,2.42,0.81,1.61,0,0,85.4,0,0,0,0.81,0,72.51,0,0,7.25,0
 48-58,0,0,0,0,13.2,0,64.27,1.72,3.44,2.3,24.67,0,0,1.72,0,1.15,0.57,9.75,0,1.72,25.25,0.57,0.57,2.3,73.45,2.3,0,1.72,0,0.57,36.15,0,0,0,0,0,42.46,0,0,4.02,0
 60-70,0,0,0,0,15.7,0,42.21,1.96,8.83,6.87,50.06,0,0,0,0,1.96,1.96,6.87,0,0,33.37,0,0.98,2.94,59.87,2.94,0.98,2.94,0,1.96,47.11,0,0,0,0,0,31.41,0,0,9.82,0
 72-82,0,0,0.98,0,25.52,0,72.64,2.94,1.96,6.87,59.88,0.98,0,3.93,0.98,1.96,2.94,9.82,0.98,0,66.75,0,2.94,2.94,79.51,3.93,1.96,7.85,0,2.94,40.25,0,0,0,0,0,14.72,0,0,22.58,1.96
 84-94,0,0,2.12,0,22.3,0,71.16,0,6.37,4.25,47.79,1.06,0,1.06,1.06,5.31,5.31,6.37,1.06,0,59.47,1.06,2.12,4.25,29.74,3.19,1.06,5.31,0,3.19,112.58,0,0,0,1.06,0,12.74,0,0,15.93,0
 96-106,0,0,3.28,0,41.53,0,74.31,9.84,6.56,4.37,41.53,2.19,0,2.19,1.09,3.28,2.19,3.28,3.28,0,33.88,0,2.19,2.19,56.83,4.37,2.19,9.84,0,0,89.61,1.09,0,0,2.19,0,14.21,1.09,0,16.39,1.09
108-118,0,0,0,0,35.23,0.77,63.57,2.3,1.53,2.3,52.09,2.3,0,0.77,0,5.36,6.89,5.36,1.53,0,22.21,1.53,3.06,4.6,37.53,3.06,0.77,6.89,0,0.77,45.19,0,0,0,2.3,0,9.96,2.3,0.77,12.26,0
120,0,0,0,0,31.36,0,54.87,5.88,0,3.92,41.16,5.88,0,0,1.96,3.92,0,9.8,1.96,0,33.32,0,3.92,1.96,52.91,5.88,0,9.8,0,1.96,19.6,0,0,0,0,0,5.88,0,0,11.76,0
