stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,taste,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,36.78,0,0,0
  7-9,0,0,0,23.66,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,57.83,0,0,15.77,13.14,0,0,0
 10-12,0,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,9.44,3.15,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,18.06,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,28.2,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0.57,0,0.57,2.3,0,0,0,18.36,0,0,0
 60-70,0,0,0,0,1.96,0,2.94,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,32.39,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0
 84-94,0,0,0,0,5.31,0,0,0,0,0,0,1.06,1.06,1.06,0,2.12,2.12,1.06,1.06,1.06,0,45.67,0,0,1.06
 96-106,0,0,0,0,8.74,0,1.09,1.09,0,0,2.19,0,0,0,0,0,2.19,0,0,1.09,0,49.18,0,0,0
108-118,0,0,0,0,6.13,0,0.77,3.06,3.06,0,0,3.06,0,0,0,0,0.77,0.77,0,0,0,36,0,0,0
120,0,0,0,0,1.96,0,0,1.96,3.92,0,3.92,0,1.96,0,0,1.96,0,3.92,1.96,0,0,39.2,0,0,1.96
