stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,1199.19,19108,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0
  5-6,1109.46,13031.6,18.39,0,0,0,30.65,0,0,171.63,24.52,91.94,245.19,0,0,0,0
  7-9,63.09,89.38,44.69,0,0,141.95,21.03,0,0,1816.44,76.23,683.47,2.63,23.66,0,0,0
 10-12,0,6.29,3.15,0,3.15,15.73,6.29,0,0,176.23,3.15,44.06,3.15,0,0,9.44,0
 14-21,0,0,1,0,1,2,0,0,0,16,2,0,1,0,2,0,3
 24-34,0,0,0.82,0,0,0.82,0,0,0,2.46,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,1.61,0,0,0.81,0.81,0,0,1.61
 48-58,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0
