stage,blastomeres,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,3.15,0,0
 14-21,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,17
 24-34,0,0,0,5.75,0,0,0,0,0,1.64,0.82,0,0,0,0,6.57,0.82,13.13
 36-46,0,0,0,3.22,0.81,0,0,0,0.81,2.42,0.81,0.81,0,0,0,0,0,10.47
 48-58,0,0,0.57,6.31,0,0,0,0,0,2.3,2.3,1.15,0,0,0,1.15,0,9.75
 60-70,0,0,0.98,11.78,0,0,0,0,0,3.93,3.93,0,0,0,0,3.93,0,7.85
 72-82,0,0,0.98,8.83,0,0,0,0.98,0,2.94,1.96,0,0,0,0,0.98,0,8.83
 84-94,0,0,0,13.81,0,0,0,1.06,0,1.06,3.19,0,0,0,0,1.06,0,4.25
 96-106,0,1.09,2.19,6.56,0,1.09,0,1.09,0,0,4.37,9.84,0,0,0,1.09,0,5.46
108-118,0,0,1.53,5.36,0,0,0.77,0.77,0,2.3,0,2.3,0,0,0,0.77,0,5.36
120,0,1.96,1.96,7.84,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96
