stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1067.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,962.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,7.89,15.77,0,0,49.95,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,394.31,15.77,0,0,155.09,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,3.15,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,207.7,9.44,0,0,163.64,0,0,3.15,0,18.88,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,33,12,17,0,0,0,5,4,0,0,0,3,0,0,0,1,23,0,0,19,214,2,1,1,10,0,5,0,75,2,2,52,81,0,0,0,0,0
 24-34,0,0,0.82,9.85,2.46,53.36,0,0,0,6.57,0,0,0.82,0,0.82,1.64,0.82,0,0,49.25,0,0,22.98,297.97,0.82,0.82,6.57,0.82,0,9.85,0,0,0,0,7.39,72.24,0,0,9.03,0,0.82
 36-46,0,0,0,3.22,0.81,66.06,0.81,0.81,0.81,5.64,0.81,0,0,0,0,0,0,0,0,40.28,0.81,0,11.28,164.36,0.81,0,0,0,0,4.83,0,0,0.81,0,0,38.67,0,0,2.42,0,0
 48-58,0,0,0,2.87,1.15,82.05,0.57,0,0.57,18.94,0,0,0,1.15,0,0.57,0,0.57,1.15,55.09,0.57,1.15,10.9,117.63,0,0.57,1.15,0,0,2.3,0,0,0.57,0,0,21.8,0,0,3.44,0,0.57
 60-70,0,0,0,3.93,0,55.95,0.98,0.98,1.96,19.63,1.96,0,0,0,0,0.98,0,0.98,0,33.37,0,0.98,3.93,75.58,0,0,0,0,0,1.96,0,0,0.98,0.98,0,11.78,0,0,3.93,0,0
 72-82,0,0,0,5.89,0,42.21,0.98,1.96,2.94,19.63,4.91,0,1.96,0.98,0.98,0,1.96,0,0,63.81,0.98,0.98,11.78,92.28,0,0,1.96,0,0,3.93,0,0,0,0.98,0,11.78,0,1.96,5.89,1.96,0
 84-94,0,0,0,12.74,0,26.55,0,0,1.06,10.62,1.06,0,0,0,1.06,0,2.12,2.12,1.06,36.11,0,0,8.5,35.05,0,0,4.25,0,0,4.25,0,0,0,0,0,3.19,0,1.06,4.25,2.12,0
 96-106,0,0,0,9.84,2.19,15.3,0,0,5.46,16.39,1.09,0,0,4.37,3.28,1.09,1.09,0,1.09,43.71,0,0,6.56,34.97,3.28,3.28,1.09,0,0,3.28,0,0,0,0,0,1.09,6.56,1.09,0,1.09,0
108-118,0,0,0,16.85,1.53,18.38,0,2.3,1.53,13.79,3.83,0,0,1.53,0,0,0,1.53,0.77,45.19,0,1.53,9.19,59.75,0.77,0.77,1.53,0,0,5.36,0,0,0.77,0,0,1.53,0,0.77,4.6,0,2.3
120,0,0,0,17.64,3.92,7.84,0,0,0,15.68,1.96,0,1.96,3.92,1.96,3.92,0,1.96,0,37.24,0,0,7.84,52.91,0,1.96,5.88,0,3.92,7.84,0,0,1.96,1.96,0,0,0,1.96,5.88,0,0
