stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,12,1,0,0,1,0,1,2,0,1,12,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0.82,0,0,0,0,1.64,0,0,0.82,0,4.1,0,0,1.64,20.52,1.64,0,0,1.64,0,0,0.82,0,0,9.85,0,0.82,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0,2.42,51.56,0.81,0.81,0,0,0,0,0,0,0,24.98,0,0,0
 48-58,0,0,0,2.3,0,3.44,0,0,1.15,0,1.15,0,1.15,0,0,0.57,1.72,2.87,0,0,0.57,67.14,0.57,0,0,0,0,0,0,0,0,18.36,0,0,0
 60-70,0,0,0,13.74,0,36.32,0.98,0,1.96,0,0,0,0.98,0,0.98,0,3.93,3.93,0,0,0,189.43,0.98,0,0,0.98,0,0,0,0,0,26.5,0,0,0.98
 72-82,0,0,0,13.74,0,67.73,0,0,16.69,0,0,1.96,0.98,0,0,0.98,0.98,7.85,0.98,0,0,309.22,0.98,0,0,0.98,0.98,0,0,0,0,28.47,1.96,0.98,0
 84-94,0,2.12,0,27.61,1.06,38.23,0,0,14.87,0,0,0,2.12,0,0,1.06,11.68,5.31,0,2.12,0,156.12,0,2.12,0,2.12,0,0,1.06,1.06,0,16.99,0,0,0
 96-106,0,2.19,0,14.21,0,32.79,2.19,0,18.58,0,0,1.09,1.09,1.09,0,2.19,7.65,10.93,0,1.09,0,151.91,0,0,0,2.19,3.28,0,0,0,0,8.74,0,2.19,1.09
108-118,0,0,0,10.72,0.77,42.89,1.53,0,19.15,0.77,0,0,3.06,0,0.77,2.3,3.83,5.36,0,0,0.77,238.21,0,0,0,2.3,0,0,1.53,0,0,6.89,2.3,0.77,0
120,0,0,0,9.8,0,31.36,0,0,5.88,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,221.46,0,1.96,0,0,0,0,0,0,0,15.68,1.96,0,0
