stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0,0,9.85,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0.57,1.72,0,0.57,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0.98,0,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,9.82,0.98,2.94,0,0,0.98,0,0.98,0,4.91,0.98,0,11.78,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,3.19,0,0,0,0,0,0,0,1.06,0,0,0,4.25,0,1.06,5.31,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,4.37,0,1.09,0,0,2.19,0,0,2.19,8.74,0,0,3.28,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,9.96,3.06,0.77,1.53,0.77,1.53,0.77,0,1.53,0,0.77,0,3.06,0.77,0,7.66,1.53,0.77,0,0,0,0,0.77,0.77,1.53,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
