stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,26.29,0,7.89,0,0,0,0,0,0,0
 10-12,6.29,28.32,0,0,3.15,0,0,0,0,0,0,264.35,22.03,31.47,0,0,3.15,0,0,0,0
 14-21,0,8,18,2,0,1,0,15,0,0,10,38,2,1,0,1,0,0,2,26,0
 24-34,0,0.82,2.46,0,0.82,0,0.82,3.28,0.82,0,0.82,45.15,0,0,0,0,0,0,0,21.34,0
 36-46,0,0,0,0,0,1.61,0,1.61,0,0,0,41.89,0,0,0,0,0,0,0,19.34,0
 48-58,0,0,0,0,0,2.87,0,2.87,0,0,0,18.36,0,0,0.57,0,0,0.57,0,4.59,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,14.72,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
