stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,5.26,0,0,13.14,0,0,2.63,0,0,115.66,5.26,0,28.92,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,9.44,0,0,3.15,0,0,110.14,0,0,40.91,0,0,3.15,3.15,0,0,0
 14-21,0,0,2,3,1,1,0,0,0,1,1,10,0,0,0,0,0,7,0,4,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.15,0,2.3,0,0.57,0,0.57,0,0,0,0,1.15,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
