stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,1,4,1,6,0,0,0,1,0,1,38,1,1,0,0,0,1,0,1,17,0,0
 24-34,0.82,0.82,0,4.93,0,0,0,4.1,0,1.64,63.21,0,0,0,0,0,0,0,0,15.6,1.64,0
 36-46,0,0,0,3.22,2.42,0,0,4.03,0,0,60.43,0,1.61,1.61,0,0,0,0,0,11.28,0,0.81
 48-58,0,0,0,6.31,3.44,0,0.57,3.44,0,0,64.84,0,0.57,0.57,0,0,0,0,0,16.64,0,0
 60-70,0,0.98,0,20.61,7.85,0,0,4.91,0,0.98,89.32,0,0,0,0,0,0,0,0,13.74,0.98,0
 72-82,0,0,0,23.56,4.91,0,0,2.94,0.98,0,82.46,0,0.98,0.98,0,0.98,0,0,0,9.82,0.98,0
 84-94,0,0,0,9.56,2.12,0,0,3.19,0,0,39.3,0,1.06,0,0,0,0,0,0,2.12,0,0
 96-106,0,1.09,0,9.84,3.28,1.09,0,6.56,0,0,30.6,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,1.53,0,6.89,2.3,0,0,5.36,0,1.53,33.7,0,0,0.77,0,0,0,0,0,1.53,0.77,0
120,0,5.88,0,1.96,0,0,0,1.96,0,0,31.36,0,3.92,0,0,0,0,0,0,1.96,0,1.96
