stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,1,0,2,4,0,0,1,2,6,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0.82,0.82,0,0.82,9.85,0,1.64,0,0.82,3.28,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,4.03,0,0.81,0,0,3.22,0.81
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,1.15,0,0.57,4.02,0,3.44,0,0,1.15,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0,2.94,0,0.98,0,0,0,0
 72-82,0,0,0.98,3.93,0,0,1.96,0,0,0,0.98,0,0,2.94,0,2.94,0,0,1.96,0
 84-94,0,0,1.06,3.19,0,0,0,0,0,0,1.06,0,0,2.12,0,20.18,0,0,0,0
 96-106,0,0,1.09,0,0,0,2.19,0,0,0,1.09,0,0,3.28,0,18.58,0,0,0,0
108-118,0,0,0.77,1.53,0,0,1.53,1.53,1.53,0,0,0,0,0.77,0,8.43,0,0,0,0
120,0,0,3.92,1.96,0,0,0,1.96,0,0,0,1.96,0,1.96,0,35.28,0,0,0,0
