stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,4,4,0,0,0,0
 24-34,0,0,0,22.98,0,0,4.93,0,0.82,4.1,0.82,0,0,0,0,0,0,0,0,3.28,0,0,1.64,76.34,0.82,0.82,2.46,0,0.82,0,3.28,0,3.28,15.6,0,3.28,0,0
 36-46,0,0,0,4.03,0.81,0,7.25,0.81,4.03,7.25,2.42,0,0,0,0.81,0,0,0.81,0,7.25,0,0,0,160.33,0,0,4.83,0,0,0,0.81,0,0,20.14,0,0,0,0.81
 48-58,0.57,0,0,5.16,0,0,35,0,5.74,18.36,2.87,0,0,0,0,0,0,2.3,0,12.05,0,0.57,2.3,208.29,0.57,0.57,1.72,0,2.3,0,0.57,0,0,33.28,0,1.15,0,1.15
 60-70,0,0,0,1.96,0,0,60.85,0,7.85,21.59,5.89,0,0,0,0.98,0,0,5.89,0,24.54,0,0,1.96,230.66,0,0.98,0.98,0,21.59,0,0,0,0,59.87,0,0.98,0,2.94
 72-82,0,0,0,9.82,2.94,0,189.46,0,9.82,59.88,17.67,0.98,0,0,0.98,0,0,2.94,3.93,35.34,0,0,7.85,401.5,2.94,1.96,5.89,0,45.16,0,3.93,0,0,62.83,2.94,0,0,0
 84-94,0,1.06,0,8.5,2.12,0,137,0,15.93,33.99,13.81,2.12,0,1.06,1.06,0,0,3.19,5.31,12.74,0,2.12,4.25,208.16,0,0,6.37,0,57.35,0,1.06,0,0,50.98,1.06,3.19,1.06,0
 96-106,0,1.09,0,7.65,2.19,1.09,187.97,0,15.3,26.23,18.58,3.28,0,0,1.09,0,1.09,2.19,28.41,18.58,0,1.09,5.46,217.48,2.19,1.09,2.19,0,51.36,0,2.19,0,0,16.39,3.28,0,2.19,1.09
108-118,0,0,0,6.13,1.53,0,140.94,0,19.92,25.28,18.38,1.53,0,0,0,0.77,0,6.89,14.55,19.92,0.77,0,3.83,281.11,0.77,1.53,1.53,0,29.11,0,2.3,0.77,0,17.62,3.06,0.77,0,0.77
120,0,0,0,3.92,0,3.92,80.35,0,5.88,21.56,5.88,0,0,0,0,0,0,5.88,17.64,29.4,0,0,3.92,244.97,0,0,1.96,0,17.64,0,3.92,0,0,11.76,1.96,0,1.96,0
