stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,3.15,0,0,31.47,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,19,3,0,284,0,1,0,64,1,0,16,0,0,0,0,148,0,0,46,1943,1,0,0,0,0,0,2,8,1,5,477,0,0,1,0,0
 24-34,0,0.82,2.46,11.49,0.82,0,447.37,0,0,0,105.07,0,0.82,18.88,0,0,0,0,147.75,0,3.28,35.3,2474.88,0,0,2.46,0,0.82,4.1,0,5.75,0,1.64,641.91,0,0,1.64,0,0
 36-46,0,0,0,4.03,0.81,0,662.26,0,0,0,145.83,0,0,23.36,0,0,0,0.81,111.99,0,13.7,13.7,1409.12,0.81,0.81,0.81,0,1.61,2.42,0,1.61,0.81,0,467.29,0,1.61,1.61,0,0
 48-58,0,0,0,0.57,0.57,0,873.33,0,1.15,0.57,193.37,0,0,16.64,0,0.57,0.57,0.57,74.59,0.57,12.05,6.31,500.93,0,0.57,1.15,0,2.3,1.15,0,1.72,0,0,246.16,0,1.15,1.72,0,1.15
 60-70,0,0,0,5.89,0,0,667.43,0,0.98,0,191.4,0,0,9.82,1.96,0,0,0,40.24,0,14.72,0.98,192.38,0,0,0.98,0,1.96,0,0,0,0,0,76.56,0,2.94,0.98,0.98,0
 72-82,0,0,0,5.89,0,0,418.19,1.96,0,0,228.73,0.98,0,3.93,0,0,0,0,31.41,0,16.69,2.94,135.47,0,0.98,0,0,0.98,0.98,0,2.94,0,0,31.41,0.98,2.94,0.98,0.98,0
 84-94,0,0,0,2.12,0,0,315.43,1.06,1.06,0,128.51,2.12,0,7.43,0,1.06,1.06,0,22.3,0,13.81,1.06,107.27,0,0,1.06,0,3.19,1.06,0,3.19,0,0,29.74,0,1.06,0,0,0
 96-106,0,0,0,4.37,0,2.19,283.05,0,1.09,2.19,140.98,0,0,6.56,0,0,0,0,19.67,0,15.3,2.19,121.31,0,1.09,0,0,4.37,4.37,0,1.09,0,0,24.04,0,3.28,0,2.19,2.19
108-118,0,0,0,5.36,0.77,0,249.7,0,0.77,0.77,107.23,0,0,3.06,0,0.77,0,1.53,19.15,0,15.32,0.77,120.26,0.77,0.77,0,0,0.77,0.77,0,2.3,0,0,10.72,0,0,0,0,0
120,0,0,0,0,0,0,223.42,0,0,3.92,80.35,0,0,3.92,1.96,0,0,0,5.88,0,5.88,1.96,96.03,0,1.96,0,0,1.96,1.96,0,1.96,0,0,7.84,0,0,0,0,0
