stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,1.61,1.61,0,0,0.81,0,0,1.61,2.42,0,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0.57,4.02,0,0,0,0,0.57,0.57,2.87,0.57,0,0.57,0,0,0,0,0.57,0
 60-70,0.98,0,2.94,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0,0.98,2.94,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,3.19,0,1.06,0,0,1.06,1.06,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,2.19,8.74,0,0,1.09,0,1.09,3.28,2.19,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0,0,4.6,0.77,0,0.77,0,1.53,2.3,0.77,0,0,0,0,0,0,0,0,0.77
120,0,1.96,1.96,15.68,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0
