stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,38.58,0,0,0.82,0,0,0,0.82,0,11.49,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0.81,0,0,3.22,0.81,0.81,132.13,0,0,0,0,0,0.81,0,0,30.62,0,0,0,0,0
 48-58,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,150.91,0,0,0,0,0,0,0,0,22.95,0,0,1.15,0,0
 60-70,0,0,1.96,0,16.69,0,0,8.83,0,0,0.98,1.96,0,0,0,0,9.82,0,1.96,372.98,0,0,0,0.98,0.98,0,0,0,31.41,0,2.94,0,0,0
 72-82,0,0,4.91,0.98,58.9,0,0.98,8.83,0,0,1.96,1.96,0,0,0,0,17.67,0.98,0.98,492.79,0,0,0,2.94,0.98,0,0,0,26.5,0.98,0.98,2.94,1.96,0.98
 84-94,0,0,2.12,0,32.92,0,0,8.5,0,1.06,0,2.12,0,1.06,1.06,0,14.87,2.12,1.06,258.08,0,0,0,3.19,4.25,0,0,0,13.81,0,0,0,0,0
 96-106,0,0,2.19,0,53.55,1.09,0,15.3,0,0,1.09,4.37,1.09,0,0,0,5.46,2.19,0,251.35,0,2.19,0,2.19,4.37,0,0,0,10.93,0,1.09,1.09,0,0
108-118,0,0,1.53,0,26.04,0,0,3.06,0.77,0,0,0,0,0,0,0.77,4.6,1.53,0,240.51,0,0,0,1.53,0,0,0,0,7.66,0,2.3,0,0,0
120,0,0,5.88,0,27.44,0,0,3.92,0,0,1.96,9.8,0,0,0,0,5.88,0,1.96,319.45,1.96,1.96,0,1.96,5.88,0,0,0,11.76,0,0,1.96,1.96,0
