stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,1,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0.82,4.93,2.46,0.82,0,0,1.64,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,1.61,0,4.03,3.22,1.61,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,2.3,1.15,0,0,0,8.61,8.61,0.57,0,0,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,17.67,7.85,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,2.94,5.89,0,0,0.98,66.75,6.87,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,0,30.8,11.68,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,3.28,1.09,0,0,66.66,9.84,2.19,0,0,0,0,0,0,0
108-118,0,0.77,0.77,1.53,0,0,1.53,0,0,0,55.15,5.36,6.89,0,0.77,0.77,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,35.28,5.88,1.96,0,0,0,0,0,1.96,0
