stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,28.32,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,5,0,0,0,0,0,1,0,0,0,0,0,6,3,0,2,0,0,1,0,5,0,0,0,0
 24-34,2.46,0,0,0,0,0,0.82,0,0,0.82,0,0,17.24,7.39,0,2.46,0,0,0,0.82,0.82,0,0,0,0
 36-46,5.64,0,0.81,0.81,1.61,0,2.42,0,0,3.22,0,0,11.28,8.06,0,2.42,0,0,0,0,0,0,0,0.81,0
 48-58,1.15,0,1.72,0,0.57,0,3.44,0,0.57,5.74,0,1.15,4.59,1.72,0.57,1.15,0,0,0,0,1.72,0,0,0,0
 60-70,3.93,0,1.96,0,0,0,9.82,0,0.98,15.7,0,4.91,9.82,4.91,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,3.93,0,3.93,0,0,0.98,12.76,0,1.96,33.38,0.98,6.87,8.83,1.96,0,4.91,0,0,0,0,0.98,0,0,0,0.98
 84-94,9.56,0,2.12,0,1.06,0,6.37,0,3.19,18.05,0,4.25,6.37,9.56,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,6.56,1.09,3.28,0,1.09,0,9.84,0,1.09,20.76,0,2.19,12.02,2.19,1.09,6.56,0,1.09,0,0,0,3.28,2.19,0,0
108-118,2.3,0,2.3,0,0,1.53,6.89,0.77,2.3,19.92,0,3.06,8.43,5.36,0,0.77,0,0,0,0,0,1.53,0.77,0,0
120,5.88,0,0,0,1.96,0,1.96,0,0,37.24,0,3.92,11.76,9.8,1.96,1.96,0,0,0,0,1.96,0,1.96,0,0
