stage,blastomeres,eye,glial,hatching_gland,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,52.71,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,6,2,10,1
 24-34,0,0,0,0,4.1,0,0,0,0,0,1.64,8.21
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,1.61
 48-58,0,0.57,0.57,0,4.59,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,4.37,0,0,0,0,0,0,0
108-118,0,1.53,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
