stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,16,2,0,0,0,2,0,0,0,4,7,0
 24-34,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,12.31,0,0,0,0,7.39,0,0,0,0,3.28,0
 36-46,0,0,0.81,0,0,2.42,0.81,0,0.81,0,0,0,0,0,0.81,2.42,0,0,0,7.25,0,0,0,0,6.45,0,0,0,0,4.83,0
 48-58,0,0,1.15,0,0,4.02,0,0,0.57,1.15,0,0,0,0,0,1.15,0,0.57,0,8.61,0,0,0.57,0,7.46,0,0.57,0,0,2.87,0
 60-70,0,0,0.98,0,0,6.87,0,0,1.96,0,0,0.98,0,0,0,2.94,0,0,0,9.82,0,0,0,0,14.72,0,0,0,0,1.96,0
 72-82,0,0.98,1.96,0.98,0,6.87,0,0,0,5.89,4.91,0,0,0.98,0,5.89,0.98,0,0,14.72,0,0,0,0,17.67,0,4.91,0.98,0,0.98,0
 84-94,0,4.25,0,0,0,2.12,0,0,1.06,50.98,13.81,2.12,0,0,0,4.25,3.19,0,0,4.25,0,0,0,0,49.92,0,21.24,0,0,0,1.06
 96-106,0,2.19,3.28,0,1.09,7.65,0,0,3.28,57.92,7.65,1.09,0,0,0,3.28,1.09,0,0,8.74,0,1.09,0,0,38.25,0,10.93,0,0,1.09,0
108-118,0,2.3,3.06,0,0,7.66,0,0,2.3,129.45,19.15,2.3,1.53,0,0,5.36,0.77,0,0.77,13.79,0,0,0.77,0,26.04,0,15.32,0,0,0.77,0
120,0,0,0,0,0,3.92,0,1.96,3.92,129.35,17.64,3.92,0,0,0,1.96,0,0,0,19.6,0,0,0,0,29.4,0,11.76,0,0,0,0
