stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,30.65,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,1.64,0,0,0,0,3.28,0,2.46,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,1.61,4.83,0,2.42,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0.57,0,0,0,1.15,9.18,0,0.57,0.57,0,0,2.3
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,7.85,0,3.93,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0,5.89,0,0,0,2.94
 84-94,0,2.12,0,2.12,0,0,1.06,1.06,0,0,0,0,19.12,0,13.81,0,0,0,4.25
 96-106,2.19,0,1.09,0,0,1.09,0,4.37,1.09,2.19,0,3.28,29.51,1.09,9.84,0,0,0,7.65
108-118,0.77,0.77,0,0.77,0,0,0,3.06,0,0,0,2.3,25.28,0,6.89,0,0.77,0.77,1.53
120,1.96,0,1.96,0,0,0,0,5.88,0,1.96,1.96,0,21.56,0,13.72,0,0,0,3.92
