stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,32,3,0,21,0,0,0,6,1,0,0,2,0,0,0,2,9,0,0,11,542,3,0,1,2,0,5,3,8,0,3,14,177,0,0,1,0,0
 24-34,0.82,0,9.03,0.82,0,74.7,0,0,0.82,24.63,0,0,0,0.82,0,0,1.64,0,50.07,0,0,7.39,1320.76,2.46,4.1,8.21,0.82,0,22.98,0,0,0,0,3.28,320.95,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,128.91,0.81,0,3.22,122.46,0,0.81,0,0,0,3.22,0,0,37.06,0,0.81,10.47,1045.76,0,3.22,6.45,0,0,12.89,0,0,0,0,0,293.26,0,0,0,0,0.81
 48-58,0.57,0,2.3,0,0,171.57,0.57,0.57,2.3,224.36,0,4.59,0,0.57,1.15,5.16,0,1.15,55.66,0,1.72,8.61,523.88,1.15,3.44,5.74,0,0,2.87,0,0,1.15,0,0,216.32,0,0.57,1.72,0,0
 60-70,0,0,3.93,0,0,179.62,0,0.98,1.96,331.75,0.98,2.94,0,0,0,10.8,0.98,0,89.32,0,5.89,2.94,338.63,0,6.87,8.83,0,2.94,2.94,0,0,0,0,0,91.28,0,0.98,0,0,1.96
 72-82,0,0,4.91,0.98,0,112.89,0,0,3.93,497.7,1.96,4.91,0,0,0,10.8,0.98,0.98,100.13,0.98,11.78,7.85,306.28,0,9.82,12.76,0,4.91,1.96,0,0,0.98,0,0,43.19,0,0.98,0.98,5.89,0
 84-94,0,0,5.31,0,1.06,117.89,0,0,2.12,284.63,4.25,6.37,0,0,0,15.93,4.25,1.06,81.78,0,10.62,8.5,180.55,0,10.62,5.31,0,2.12,4.25,0,0,1.06,0,0,32.92,2.12,5.31,1.06,7.43,0
 96-106,0,0,8.74,5.46,1.09,92.89,0,1.09,2.19,271.03,3.28,9.84,3.28,1.09,1.09,28.41,3.28,0,50.27,0,5.46,5.46,149.72,1.09,19.67,17.49,0,6.56,2.19,0,0,0,0,0,18.58,4.37,3.28,1.09,7.65,1.09
108-118,1.53,0,5.36,0,0.77,59.75,0,0,0,277.28,3.06,4.6,1.53,0.77,0.77,21.45,5.36,0.77,39.06,0.77,7.66,3.83,176.17,3.06,13.02,16.09,0,6.89,2.3,0,0,0,0,0,16.85,13.79,0.77,1.53,3.83,0
120,0,0,7.84,0,1.96,68.59,0,0,1.96,282.21,0,3.92,1.96,1.96,0,5.88,5.88,0,45.08,0,1.96,3.92,156.78,5.88,9.8,7.84,0,1.96,3.92,0,0,0,0,0,21.56,3.92,0,0,3.92,0
