stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,162,1,3,0,0,0,0,2,2,0,105,0,0,0,0,0
 24-34,0,0,0,5.75,0.82,0,16.42,0,0.82,0,2.46,0.82,0.82,0.82,0,4.93,0,0,0.82,9.85,2.46,0,0,4.1,1115.54,0,52.53,0.82,0,0,1.64,0,4.1,0,285.66,0,0,2.46,0,0
 36-46,0,0,0,4.03,0.81,0,170.8,0.81,0,0,4.83,0,0,0,0,1.61,0,0,0.81,17.72,10.47,0.81,0.81,0.81,3024.48,0.81,53.17,0.81,0,0,3.22,0,4.03,0,515.63,0,0,0,0,0
 48-58,0,0,0,6.31,1.15,0,542.82,0.57,0,2.87,33.28,1.15,0,0,0.57,2.3,2.3,1.15,0.57,18.94,22.38,1.15,2.3,4.02,3583.41,0,33.85,0,0,0,2.3,0,1.15,0,568.64,0,0,1.72,0,1.15
 60-70,0,0.98,0,6.87,0.98,0,980.54,0.98,1.96,2.94,32.39,1.96,0,0,2.94,0,3.93,0,2.94,3.93,21.59,0.98,1.96,0,4013.44,0,37.3,0,0,0,0.98,0,1.96,0,504.5,0,1.96,0.98,0,2.94
 72-82,0,0,0,25.52,5.89,0,1118.11,0,0.98,0.98,65.77,4.91,0,0.98,1.96,3.93,5.89,0.98,10.8,2.94,53.01,0.98,0,2.94,3157.02,0,46.14,0.98,0,1.96,4.91,0,1.96,0,226.76,0.98,1.96,3.93,3.93,2.94
 84-94,0,0,0,29.74,1.06,2.12,699.88,1.06,0,0,69.03,9.56,0,2.12,5.31,4.25,5.31,0,21.24,7.43,46.73,0,1.06,5.31,1617.48,0,40.36,0,0,0,7.43,0,9.56,0,146.56,0,1.06,2.12,3.19,2.12
 96-106,0,1.09,0,19.67,4.37,5.46,483.04,2.19,0,3.28,45.9,4.37,0,1.09,3.28,2.19,10.93,1.09,15.3,8.74,39.34,1.09,0,1.09,1299.39,1.09,45.9,1.09,0,1.09,13.11,0,6.56,0,57.92,2.19,1.09,2.19,1.09,5.46
108-118,0,0,0.77,22.21,3.83,2.3,463.41,0.77,1.53,0,39.83,2.3,0,0.77,6.13,6.89,6.89,1.53,15.32,2.3,19.15,0.77,1.53,2.3,1577.88,0,36.77,0,0,0.77,0.77,0,6.89,0,37.53,0.77,0,3.83,2.3,0.77
120,0,0,0,15.68,7.84,1.96,366.48,1.96,0,1.96,31.36,0,0,0,7.84,1.96,3.92,0,17.64,1.96,23.52,0,0,3.92,1597.23,0,31.36,1.96,0,0,5.88,0,7.84,1.96,25.48,0,1.96,1.96,0,0
