stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,9,1,0,1,1,0,2,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,3.28,0,0,0.82,0.82,0,0,0,0.82,0,0.82,7.39,0,1.64,15.6,0,0,0.82,0,0,11.49,0,4.93,5.75,0,0,1.64,0,0
 36-46,0,0,0,0,4.83,0,0,4.83,0,0,2.42,0.81,0,0,0,1.61,0.81,0,2.42,0,0.81,21.75,0,0.81,0,0,0,6.45,0,2.42,19.34,0,0,0.81,0,0.81
 48-58,0,0,0,0,6.89,0,0,16.07,0.57,0,1.15,1.72,0,0,0,0,0,0,12.05,0,0,51.07,0,0,0,0,0,3.44,0,1.72,18.94,0,0,0,0,0
 60-70,0,0,0,0,16.69,0,0,200.23,1.96,1.96,4.91,1.96,0,0,0,4.91,0,0.98,42.21,0,0,163.91,0,0.98,0,0,0,5.89,0,1.96,12.76,0.98,0,1.96,0,0
 72-82,0,0,1.96,0,15.71,0.98,0,405.43,6.87,1.96,20.61,9.82,0,2.94,0,0.98,0,0.98,87.37,0.98,2.94,287.63,0,2.94,0.98,0,0.98,5.89,0.98,0.98,14.72,3.93,0,6.87,0.98,0
 84-94,0,0,2.12,1.06,35.05,0,0,215.59,1.06,0,11.68,9.56,0,2.12,2.12,2.12,0,2.12,61.6,1.06,0,144.44,0,2.12,1.06,0,0,10.62,0,6.37,12.74,2.12,2.12,2.12,0,0
 96-106,0,0,4.37,2.19,43.71,1.09,0,260.1,4.37,0,19.67,14.21,0,4.37,0,7.65,1.09,2.19,90.71,0,0,175.95,1.09,2.19,1.09,0,0,4.37,0,0,4.37,5.46,0,4.37,0,2.19
108-118,0,0,0,1.53,45.19,0.77,0.77,156.26,9.19,0,11.49,16.09,0.77,3.06,0.77,6.13,0,2.3,78.13,0,6.13,186.89,0,0,1.53,0,0.77,2.3,0,2.3,3.83,4.6,0,4.6,0,0
120,0,0,0,0,41.16,0,0,99.95,5.88,0,5.88,13.72,0,13.72,0,3.92,0,1.96,43.12,0,5.88,221.46,0,0,0,0,0,1.96,0,7.84,7.84,5.88,0,0,0,0
