stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,3004.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,116.46,1526.28,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,18.39,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,52.57,36.8,0,136.69,0,0,170.87,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,1511.51,42.06,0,0,646.66,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,78.67,0,62.94,0,12.59,166.79,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1523.13,28.32,0,0,597.92,0,6.29,3.15,6.29,59.79,3.15,6.29,0,0,0,0
 14-21,1,0,0,5,77,23,63,0,0,8,5,1,1,1,2,0,0,1,0,43,0,0,42,841,19,3,5,28,0,20,0,102,4,47,251,0,2,0,0
 24-34,0,0,0.82,4.93,32.83,8.21,259.39,0.82,1.64,13.13,1.64,1.64,0.82,4.93,3.28,0,3.28,0.82,0,122.31,0,0.82,36.12,1131.96,2.46,7.39,6.57,0,0,30.37,0,1.64,0.82,5.75,223.27,0,17.24,0,2.46
 36-46,0,0,0,0.81,8.06,1.61,306.96,0.81,0,16.11,0.81,0,0.81,1.61,0,0.81,1.61,0,0.81,64.45,0,2.42,23.36,534.16,0,8.06,2.42,0,0,13.7,0,0,0.81,0,107.15,0,3.22,0,1.61
 48-58,0,0,0,0,8.03,0.57,271.41,0.57,1.15,25.25,1.15,0,1.72,0.57,1.15,0.57,1.15,1.15,0,70,0.57,4.59,11.48,205.42,0,1.15,2.3,0,0,4.02,0,0,0,0,34.43,0,5.74,0,3.44
 60-70,0,0,0,0,14.72,0,158.03,0.98,0.98,22.58,1.96,0,0,0,0,0,1.96,0,0,41.22,0.98,3.93,8.83,116.8,0.98,0,0.98,0,0.98,4.91,0,0,2.94,0,2.94,0,2.94,0,0
 72-82,0,0,0,0,9.82,0.98,87.37,0,1.96,33.38,4.91,0,3.93,1.96,0,1.96,0.98,0,0,47.12,0.98,3.93,12.76,132.52,0,1.96,0.98,0,0.98,3.93,0,0,0,0,4.91,0.98,5.89,0,0
 84-94,0,0,0,1.06,14.87,4.25,71.16,0,1.06,21.24,11.68,0,0,2.12,0,0,2.12,0,0,46.73,0,7.43,4.25,78.59,0,0,4.25,0,1.06,6.37,0,0,1.06,0,1.06,1.06,8.5,0,0
 96-106,0,0,0,1.09,9.84,0,56.83,0,1.09,19.67,5.46,0,1.09,2.19,1.09,0,2.19,3.28,0,32.79,0,2.19,3.28,63.39,0,1.09,2.19,0,0,13.11,0,0,0,0,1.09,0,3.28,0,0
108-118,0,0,0,0,13.79,5.36,42.89,0,1.53,19.15,1.53,0,0,3.06,1.53,0.77,0,0.77,1.53,28.34,0.77,0,3.83,89.62,0,0.77,2.3,0,0,6.13,0,0,0.77,0,1.53,0,5.36,0.77,0
120,0,0,0,1.96,9.8,17.64,48.99,1.96,0,19.6,0,0,0,5.88,0,3.92,0,1.96,0,19.6,0,1.96,7.84,97.99,0,5.88,1.96,0,0,3.92,0,0,1.96,0,0,0,3.92,0,0
