stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,13,1,0,4,0,0,0,0,3,0,2,91,0,0,0,1,0,0,14,0,0,0,0
 24-34,0,0,0,0.82,0,23.8,0,0,7.39,0.82,0,0,0,6.57,0,1.64,154.32,0,0,0,0,0,0,22.16,0,0,0.82,0
 36-46,0,0,0,0,0.81,37.06,1.61,0,12.09,0,0,0,0,7.25,0,5.64,216.73,0,0.81,0,0,0.81,0,27.39,0,0,0.81,0
 48-58,0,0,0,0,0,90.66,9.18,0.57,12.05,0,0,0,0,6.89,0.57,1.72,270.84,0,0,0,0,0,0,37.87,0,0,1.15,0
 60-70,0,0,0,0,1.96,79.5,11.78,0,18.65,0,0,0,0,3.93,1.96,0.98,285.62,0,0,0,0,0,0,35.33,0,0.98,0,0
 72-82,0,0,0,1.96,0,69.7,14.72,0,35.34,0,0.98,0,0.98,9.82,0.98,0,210.08,0,0,0,0,0,0,18.65,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,1.06,43.54,7.43,0,38.23,0,0,0,0,12.74,1.06,3.19,114.7,0,1.06,1.06,0,1.06,0,10.62,0,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,33.88,4.37,0,57.92,0,0,0,0,5.46,0,3.28,95.08,2.19,0,0,0,0,1.09,9.84,0,0,0,0
108-118,0,0,0,0.77,0,30.64,7.66,0,45.19,0,0,0.77,0,9.19,0,0.77,85.79,0,0,0,0,0,0,4.6,0,0,1.53,0
120,0,0,0,1.96,0,21.56,7.84,0,25.48,1.96,0,1.96,0,17.64,0,1.96,99.95,0,0,1.96,0,0,0,5.88,0,0,0,0
