stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,514.89,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,55.2,7.89,0,0,15.77,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,37.76,3.15,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,26,1,0,0,0,0,0,2,1,9,6,0,0,0,0
 24-34,0,0,0,0.82,10.67,0,3.28,0,0,0.82,1.64,0.82,0,0,0.82,0,0,0,0,0,7.39,0,0,3.28,25.45,0,0,2.46,0,11.49,0,0,0,0.82,6.57,0,0.82,0,2.46
 36-46,0,0,0,0,1.61,0,16.11,0,0,0,2.42,0,0,0,0,0.81,0,0,0,0,8.06,0.81,0,1.61,34.64,0.81,1.61,1.61,0,4.03,0,0,0,0,6.45,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,16.64,0.57,1.72,0,5.74,0,0,0,0,0.57,0,0.57,0,0,13.2,0,0,1.15,22.38,0,0,0,0,5.16,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,2.94,0,30.43,0,1.96,0,5.89,0.98,0,0,3.93,0,0,0,0,0.98,15.7,0,0,0,37.3,0,0.98,0,0,3.93,0,0,0,0,2.94,0,2.94,0.98,2.94
 72-82,0,0,0,0,4.91,0,11.78,0,0,0.98,14.72,0,0,0,1.96,1.96,0.98,0.98,0,0,30.43,0,0.98,1.96,45.16,0,0,1.96,0.98,2.94,0,0,0,0,3.93,0,2.94,0,0
 84-94,0,0,1.06,0,16.99,0,15.93,0,1.06,1.06,3.19,1.06,0,0,7.43,0,1.06,0,0,1.06,20.18,0,0,1.06,19.12,0,1.06,1.06,0,12.74,0,0,1.06,0,2.12,1.06,3.19,0,0
 96-106,0,0,0,0,4.37,0,10.93,1.09,1.09,0,8.74,2.19,0,2.19,4.37,0,0,1.09,0,1.09,18.58,0,0,0,17.49,0,1.09,2.19,0,4.37,0,0,0,0,1.09,0,2.19,0,1.09
108-118,0,0,0.77,0,9.96,0.77,6.13,0,1.53,0.77,6.13,0.77,0,0,3.83,0,0.77,0.77,0.77,0,13.02,0,0,0,21.45,0.77,0.77,3.06,0,2.3,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,15.68,0,7.84,0,0,0,3.92,0,0,0,7.84,0,0,0,0,0,7.84,0,0,0,29.4,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0
