stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0.82,2.46,3.28,2.46,0.82,0,0,0,0,1.64,3.28,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,8.06,5.64,2.42,0.81,0,0,0,1.61,0,2.42,0,2.42,0,0
 48-58,0.57,0,2.3,0,0,0,0,0,0.57,0,6.89,2.87,4.02,0,0.57,0,0,0,0,0.57,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,0,0.98,0,12.76,1.96,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98
 72-82,0,0,0.98,0,0,5.89,0,0,1.96,0.98,20.61,0.98,2.94,1.96,0,1.96,0.98,0,0,0,0,4.91,0.98,0.98
 84-94,1.06,0,1.06,0,0,2.12,1.06,0,3.19,0,10.62,1.06,1.06,1.06,0,0,0,0,0,1.06,0,5.31,0,1.06
 96-106,0,0,2.19,0,0,5.46,0,1.09,6.56,1.09,6.56,0,3.28,0,1.09,1.09,0,0,0,0,1.09,5.46,1.09,2.19
108-118,0,1.53,4.6,0.77,0,3.06,0,0,11.49,0.77,9.96,0.77,1.53,0.77,0,0.77,0,0.77,0,0,0,5.36,0,2.3
120,0,0,0,0,0,0,1.96,1.96,3.92,1.96,3.92,1.96,3.92,0,0,0,0,1.96,0,0,0,0,0,3.92
