stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,12,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,1,0,0,0,0,0,0,1,0,4,6,2,0,0,0,0
 24-34,0,0.82,8.21,0,3.28,0,0,0.82,0,0,1.64,0,0,2.46,3.28,0.82,15.6,0.82,0,9.85,23.8,0,1.64,1.64,0,0,2.46,0,0,0,2.46,4.93,3.28,0,0,1.64,0
 36-46,0,0,4.03,0,1.61,0.81,0,0,1.61,0,0,1.61,0,1.61,1.61,0,21.75,0.81,0.81,12.09,16.92,0,1.61,1.61,0,0,0,0,0.81,0,0.81,0.81,1.61,0,0,0,0
 48-58,0,0,3.44,0,6.31,0,0,0,0.57,0.57,2.3,0,0,0.57,2.3,0.57,19.51,0.57,0,5.16,13.77,0,0.57,0,0,0,0,0,0,0,2.87,0,0.57,0,0,0,0
 60-70,0,0,8.83,0.98,8.83,1.96,0,0.98,6.87,3.93,1.96,0.98,0,1.96,1.96,0,32.39,2.94,0,6.87,14.72,0,0.98,1.96,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,5.89,0,9.82,0,0.98,0,4.91,8.83,0.98,0.98,0,0.98,7.85,0,24.54,2.94,0,9.82,4.91,0,0,4.91,0,0.98,0,0.98,0,0,0.98,0,0,3.93,0.98,1.96,0
 84-94,0,0,10.62,0,3.19,0,1.06,0,1.06,10.62,0,2.12,0,1.06,9.56,0,15.93,0,2.12,7.43,2.12,1.06,2.12,3.19,1.06,0,0,0,0,0,1.06,0,0,6.37,1.06,1.06,2.12
 96-106,0,0,8.74,0,4.37,1.09,0,0,3.28,13.11,0,0,0,0,10.93,1.09,15.3,5.46,2.19,5.46,3.28,1.09,1.09,3.28,0,0,0,1.09,0,0,1.09,0,0,7.65,1.09,0,2.19
108-118,0,0,6.13,0,5.36,0.77,2.3,0,1.53,7.66,0,0,1.53,0,6.89,0.77,14.55,3.83,0.77,13.02,3.83,0,0.77,0.77,0,1.53,0.77,0,0,1.53,0.77,0,0,6.13,0,0,0
120,0,0,9.8,0,3.92,1.96,0,0,1.96,9.8,0,0,1.96,1.96,7.84,0,11.76,3.92,1.96,9.8,0,0,3.92,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
