stage,erythrocytes,eye,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,pericytes,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,2.3,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,0,0.77,0,0,0.77,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
