stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.06,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,10.51,0,0,2.63,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,14,2,0,2,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,5.75,0,0,0.82,0,5.75,0.82,0,0,1.64,0,0,0,8.21,0,0,0.82,0,18.88,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,30.62,0,0,0,0,2.42,0,0,0,1.61,0,0.81,0.81,16.11,0,2.42,0,0,20.14,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,12.62,0,0,0,0.57,4.59,0,0,0,2.87,0,0,0,18.36,0,0.57,0,0,17.21,0,0,0,3.44,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,0,3.93,0.98,0.98,1.96,0,10.8,0,0.98,0,4.91,0,0,0,14.72,0,1.96,0,0,14.72,0,0,0,4.91,0,0,2.94,0,0
 72-82,0,0,0,1.96,0,0,10.8,0,0,1.96,0,18.65,0,0,0,5.89,0,0.98,0.98,25.52,0,1.96,0,0,31.41,0,0,0,1.96,0.98,0,1.96,0,0
 84-94,0,0,0,2.12,0,0,7.43,1.06,0,1.06,0,30.8,0,0,0,3.19,0,0,0,10.62,0,2.12,0,0,45.67,0,1.06,0,2.12,0,0,0,1.06,1.06
 96-106,0,0,0,4.37,0,0,5.46,1.09,0,1.09,1.09,33.88,3.28,0,1.09,6.56,1.09,0,0,5.46,0,2.19,0,0,71.04,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,12.26,0.77,0.77,5.36,2.3,0,0.77,0,25.28,0,0,2.3,3.06,1.53,0.77,0,11.49,0,1.53,0,0,41.36,0,0,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,5.88,0,1.96,9.8,1.96,0,3.92,1.96,35.28,0,0,0,3.92,0,0,0,13.72,0,0,0,0,41.16,0,0,0,0,0,0,0,0,0
