stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,2,1,2,0,2,0,0,3,0,2,0,0,1,3,0,0,5,186,7,3,5,0,5,1,1,0,2,81,0,0,3,0
 24-34,0,0,0,4.93,0.82,37.76,4.1,0,4.1,0.82,0,0,0,0,0,3.28,0,5.75,0.82,0,3.28,674.74,0,5.75,5.75,0,0,0,0,0,1.64,129.7,0,0,5.75,0
 36-46,0,0,0,4.03,0,105.54,0.81,0.81,12.89,0,0,2.42,4.03,0,0,3.22,0,5.64,0,0.81,0,903.96,0,0,7.25,0,0.81,0,0,0,0,178.86,0,0,4.03,0
 48-58,0.57,0,0,0.57,0,194.52,1.15,0.57,35.58,0,0,0,0.57,0,0,1.72,0,5.16,0,0.57,0.57,459.62,0,0,1.15,0,0,0,0.57,0.57,0,106.73,0,0,2.3,0
 60-70,0,0,0,0,0,125.63,0,0.98,14.72,0.98,0,0.98,6.87,0,0,0,0,8.83,0,0,0,207.1,0,0,1.96,0,0,0,0,0,0,26.5,0,0,0.98,0.98
 72-82,0,0,0.98,0,0,102.09,0.98,0.98,14.72,0.98,0,0,0.98,0,0.98,1.96,0,7.85,0,0,0.98,209.09,0,0.98,0.98,0,0,0,0,0,0,9.82,0,0,0.98,0
 84-94,0,0,0,0,1.06,100.89,0,2.12,14.87,1.06,0,0,2.12,1.06,1.06,2.12,0,6.37,0,0,0,117.89,0,1.06,7.43,0,1.06,0,0,0,0,9.56,2.12,1.06,2.12,1.06
 96-106,0,0,1.09,3.28,1.09,53.55,0,4.37,20.76,0,0,1.09,2.19,1.09,0,6.56,0,5.46,0,1.09,0,114.75,0,0,5.46,0,0,0,0,0,0,1.09,5.46,0,3.28,1.09
108-118,0,0,0,3.06,0.77,47.49,0.77,0,6.13,0.77,0,0,3.83,1.53,0.77,2.3,0,7.66,0,0,0,105.7,0,0.77,7.66,0,0,0,0,0,0,2.3,2.3,0,0.77,0
120,0,0,0,3.92,0,29.4,0,0,7.84,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,68.59,0,0,3.92,0,0,0,1.96,0,0,1.96,0,1.96,0,0
