stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,237.2,6957.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0
  5-6,239.06,3199.67,6.13,0,0,0,0,0,6.13,0,0,0,73.56,0,0,36.78,55.17,0,0,0,0,0
  7-9,28.92,15.77,34.17,0,0,49.95,0,0,18.4,0,0,0,467.91,28.92,0,197.15,2.63,2.63,0,0,0,0
 10-12,0,3.15,9.44,0,0,28.32,0,0,9.44,0,0,0,179.38,12.59,0,53.5,0,0,0,6.29,0,0
 14-21,0,0,0,1,2,3,0,0,0,0,0,0,25,0,0,1,1,0,1,0,2,8
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,3.22,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,6.89,0,0,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,1.96
 72-82,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0,4.91,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,1.06,5.31,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,1.53,0,1.53,0,0.77,4.6,0,0,0,2.3,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,7.84,0,0,0,0,0
