stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,1,1,3,0,0
 24-34,0,0.82,0,0,0,0.82,0,0.82,0,0,1.64,0,0.82,9.85,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,2.42,0,0,0,0,1.61,0,0,24.17,0.81,0,0,0,0,0.81,0,0,4.83,0,0
 48-58,0,0,0,5.16,0,2.87,0,0,0,0,4.02,0,1.15,25.25,0.57,0,0,0,0,0,0,0,6.89,0,0
 60-70,0,0,0,2.94,0.98,2.94,0,0,0,0,4.91,0,0,19.63,0.98,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,8.83,0.98,0,0,0.98,0,0,5.89,0,0,18.65,0,0,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,1.06,2.12,0,2.12,0,0,0,0,3.19,0,0,6.37,0,1.06,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,6.56,0,3.28,0,1.09,1.09,1.09,1.09,1.09,0,6.56,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,1.53,0,0,0.77,0,0,0,1.53,0,0,5.36,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
