stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,2,1,1,0,1,6,0,0,1,19,1,2,0,1,0,12,0
 24-34,0,1.64,0,4.93,0.82,0,0.82,0,0,0,0,11.49,0,0,4.1,32.83,0,0,0,4.1,0.82,9.85,0
 36-46,0,0,0,4.83,0,0,2.42,0,0,0,0.81,4.03,0.81,0,3.22,21.75,0,0,0,3.22,0,7.25,0.81
 48-58,0,0,0,6.31,0,0,7.46,0,0,0,0.57,8.03,0,0.57,2.87,7.46,0,0,0,1.15,0,8.03,0
 60-70,0,0,0,3.93,0,0,1.96,0,0,0,0,7.85,0,0,0,1.96,0.98,0,0,0,0,0,0
 72-82,0,1.96,0.98,5.89,0,0,21.6,0,0,0,0,17.67,0.98,0,3.93,7.85,0,0,0,2.94,0,3.93,0
 84-94,0,0,0,2.12,1.06,0,7.43,0,0,0,1.06,13.81,0,0,3.19,3.19,0,2.12,0,1.06,0,1.06,0
 96-106,0,1.09,0,7.65,0,0,8.74,0,0,0,0,6.56,0,1.09,1.09,4.37,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0.77,3.06,0,2.3,8.43,0,0,0.77,0.77,5.36,0,0,0.77,7.66,0,1.53,0.77,0.77,0,0,0
120,0,0,1.96,5.88,1.96,0,9.8,0,0,0,1.96,0,0,0,0,5.88,0,1.96,0,3.92,0,0,0
