stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1875.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,7.89,0,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,165.61,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,66.09,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,6,15,6,0,7,0,0,0,0,3,0,1,0,4,0,0,0,0,10,0,0,7,93,1,0,1,0,0,5,0,14,0,9,37,0,0,0,0,0
 24-34,0,0,0,0,4.93,1.64,0,16.42,0,0.82,0.82,1.64,0.82,0,0,0,0,0,0,0,0,11.49,0,0,12.31,118.2,0.82,1.64,1.64,0,0,4.93,0,0,0,1.64,25.45,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0,49.15,0.81,0,1.61,5.64,0,0,2.42,0,0,0.81,0,0.81,1.61,36.26,1.61,0.81,3.22,149.85,1.61,2.42,0,0,0,11.28,0,0.81,0,0,47.53,0,0,4.03,0,0.81
 48-58,0,0,0,0,3.44,0,0,49.92,0.57,1.15,1.15,14.92,0,0,0.57,0,0,1.72,2.3,0,0.57,53.94,1.72,0,7.46,65.41,1.15,0,1.72,0,0,5.16,0,0,0,0,24.1,0,0.57,2.3,0,1.72
 60-70,0,0,0,0,3.93,0,0,13.74,0,1.96,0.98,2.94,0.98,0.98,0.98,0,0,0,0.98,0,0,21.59,0.98,0,2.94,21.59,0,1.96,0.98,0,0,6.87,0,0,0,0,0.98,0,0,0.98,0.98,0
 72-82,0,0,2.94,0,6.87,5.89,0,34.36,0,0.98,5.89,15.71,0.98,0,1.96,1.96,2.94,2.94,1.96,0,0,84.42,0.98,3.93,4.91,46.14,0,0,1.96,0,0,13.74,0,0,0,0,3.93,0,0,6.87,0,0
 84-94,0,0,1.06,0,5.31,2.12,0,25.49,0,3.19,2.12,3.19,1.06,1.06,0,6.37,1.06,2.12,1.06,0,0,28.68,1.06,2.12,5.31,12.74,1.06,2.12,3.19,0,0,28.68,0,0,0,0,2.12,0,1.06,1.06,2.12,1.06
 96-106,0,0,1.09,0,9.84,2.19,0,18.58,0,1.09,1.09,10.93,3.28,0,2.19,7.65,1.09,2.19,3.28,0,0,34.97,0,0,4.37,13.11,0,1.09,2.19,0,0,15.3,0,0,0,0,2.19,1.09,0,4.37,3.28,1.09
108-118,0,0,0.77,0,17.62,5.36,0.77,13.79,0.77,2.3,2.3,8.43,1.53,0,0,7.66,0,3.06,0.77,0,0,30.64,0.77,0.77,1.53,21.45,0.77,0.77,0,0,0.77,17.62,0,0,0,0,0,1.53,0,3.06,0,1.53
120,0,0,0,0,15.68,7.84,0,9.8,0,3.92,0,7.84,5.88,0,0,3.92,3.92,1.96,0,1.96,0,19.6,0,0,5.88,15.68,1.96,1.96,1.96,0,0,15.68,0,0,1.96,0,0,3.92,0,1.96,0,0
