stage,axial,blastomeres,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,3.28,0,3.28,6.57,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0.81,7.25,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,0.57,1.15,0,2.3,0,0,6.31,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,1.96,0.98,0.98,4.91,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,15.71,0,0,3.93,0,0.98,18.65,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,18.05,1.06,1.06,1.06,0,1.06,16.99,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,0,12.02,3.28,1.09,1.09,0,2.19,20.76,0,0,1.09,0,0
108-118,0,0,0.77,0.77,0.77,0.77,15.32,4.6,0,3.83,0.77,0.77,17.62,0,0,0,0,0
120,1.96,0,0,0,0,0,7.84,5.88,1.96,1.96,0,3.92,13.72,0,0,0,0,0
