stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,5.64,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,5.74,0,0,0
 60-70,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,24.54,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,0.98,1.96,0,0,0,4.91,0,0,0,53.01,0,0,0
 84-94,0,2.12,0,1.06,4.25,0,0,0,0,2.12,0,4.25,0,0,0,2.12,0,0,0,234.71,0,0,0
 96-106,0,8.74,0,1.09,4.37,0,2.19,1.09,0,2.19,0,2.19,1.09,0,0,13.11,0,0,0,287.42,0,0,0
108-118,0,9.96,0.77,1.53,3.06,0,0,0,0,9.96,0,6.89,0.77,0.77,0.77,7.66,0.77,0,0,409.02,0,0.77,0
120,0,11.76,0,0,13.72,0,0,1.96,0,0,0,0,7.84,0,0,3.92,0,0,0,317.49,0,0,1.96
