stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.4,0,10.51,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,44.06,0,9.44,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0.82,1.64,0,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,2.42,0.81,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,4.02,1.15,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,1.96,0,0,0,0
 72-82,0,0,0,2.94,0,0,0.98,0,0,0,4.91,9.82,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,5.46,10.93,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,3.83,7.66,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,7.84,0,0,0,0
